plot;plot_code;nurse;nurse_code;oc_bio01;oc_bio02;oc_bio03;oc_bio04;oc_bio05;oc_bio06;oc_bio07;oc_bio08;oc_bio09;oc_bio10;oc_bio11;oc_bio12;oc_bio13;oc_bio14;oc_bio15;oc_bio16;oc_bio17;oc_bio18;oc_bio19;cic_bio01;cd_abs_bio01;cd_bio01;cic_bio02;cd_abs_bio02;cd_bio02;cic_bio03;cd_abs_bio03;cd_bio03;cic_bio04;cd_abs_bio04;cd_bio04;cic_bio05;cd_abs_bio05;cd_bio05;cic_bio06;cd_abs_bio06;cd_bio06;cic_bio07;cd_abs_bio07;cd_bio07;cic_bio08;cd_abs_bio08;cd_bio08;cic_bio09;cd_abs_bio09;cd_bio09;cic_bio10;cd_abs_bio10;cd_bio10;cic_bio11;cd_abs_bio11;cd_bio11;cic_bio12;cd_abs_bio12;cd_bio12;cic_bio13;cd_abs_bio13;cd_bio13;cic_bio14;cd_abs_bio14;cd_bio14;cic_bio15;cd_abs_bio15;cd_bio15;cic_bio16;cd_abs_bio16;cd_bio16;cic_bio17;cd_abs_bio17;cd_bio17;cic_bio18;cd_abs_bio18;cd_bio18;cic_bio19;cd_abs_bio19;cd_bio19
1;SNEV01;open;SNEV01_open;117;104;349;6270;279;-18;297;55;212;212;38;588;91;3;58;262;11;11;245;122.454189946233;5.45418994623344;5.45418994623344;95.1497749783324;-8.85022502166755;-8.85022502166755;343.751937704326;-5.24806229567378;-5.24806229567378;6082.92238805579;-187.077611944213;-187.077611944213;276.11641667209;-2.88358332790972;-2.88358332790972;-2.20322136204971;-15.7967786379503;15.7967786379503;283.182475895815;-13.8175241041852;-13.8175241041852;105.365130207268;50.3651302072676;50.3651302072676;214.383698736376;2.38369873637592;2.38369873637592;217.366379280881;5.36637928088052;5.36637928088052;43.8940625381072;5.89406253810718;5.89406253810718;542.285347428516;-45.714652571484;-45.714652571484;86.2894821494911;-4.71051785050894;-4.71051785050894;4.32066899937308;1.32066899937308;1.32066899937308;45.9349825614854;-12.0650174385146;-12.0650174385146;242.446324113385;-19.5536758866145;-19.5536758866145;16.4505644444005;5.45056444440055;5.45056444440055;16.4433606853396;5.4433606853396;5.4433606853396;171.997154653141;-73.0028453468585;-73.0028453468585
2;SNEV02;open;SNEV02_open;99;104;352;6199;259;-36;295;37;192;192;20;614;93;4;58;269;14;14;251;126.047681308366;27.047681308366;27.047681308366;93.990267082553;-10.009732917447;-10.009732917447;343.266173882304;-8.73382611769557;-8.73382611769557;6035.51479804766;-163.485201952335;-163.485201952335;276.635346443565;17.635346443565;17.635346443565;0.792933316721314;-35.2070666832787;36.7929333167213;280.553182867137;-14.4468171328629;-14.4468171328629;111.222898883414;74.2228988834142;74.2228988834142;216.864198588317;24.8641985883171;24.8641985883171;219.784435456166;27.7844354561657;27.7844354561657;46.4981798717157;26.4981798717157;26.4981798717157;534.239428332384;-79.7605716676161;-79.7605716676161;82.8300423314133;-10.1699576685867;-10.1699576685867;4.06398751726921;0.0639875172692133;0.0639875172692133;44.7515595003724;-13.2484404996276;-13.2484404996276;234.177178501107;-34.8228214988935;-34.8228214988935;15.4845991350466;1.4845991350466;1.4845991350466;15.3852193629115;1.38521936291152;1.38521936291152;166.150918679999;-84.8490813200005;-84.8490813200005
3;SNEV03;open;SNEV03_open;81;104;354;6132;240;-53;293;21;173;173;3;632;95;4;57;275;14;14;255;128.626729364947;47.6267293649471;47.6267293649471;94.6136415171478;-9.38635848285223;-9.38635848285223;338.558565457598;-15.4414345424024;-15.4414345424024;5889.13678056344;-242.863219436557;-242.863219436557;279.863675708914;39.863675708914;39.863675708914;14.9545609816391;-38.0454390183609;67.9545609816391;288.185649141879;-4.81435085812092;-4.81435085812092;89.3175031383883;68.3175031383883;68.3175031383883;220.326898025228;47.3268980252282;47.3268980252282;219.929843285073;46.9298432850726;46.9298432850726;52.4915438433787;49.4915438433787;49.4915438433787;523.479638667873;-108.520361332127;-108.520361332127;61.1409738972104;-33.8590261027896;-33.8590261027896;9.81552470176085;5.81552470176085;5.81552470176085;33.579279245217;-23.420720754783;-23.420720754783;173.602678165503;-101.397321834497;-101.397321834497;33.4666584482422;19.4666584482422;19.4666584482422;28.4271856745862;14.4271856745862;14.4271856745862;132.441596731121;-122.558403268879;-122.558403268879
4;SNEV04;open;SNEV04_open;115;96;340;6082;267;-14;281;55;207;207;38;417;60;4;50;175;18;18;160;152.040733161156;37.0407331611564;37.0407331611564;98.9774149498072;2.97741494980716;2.97741494980716;342.445871249447;2.44587124944724;2.44587124944724;5911.95236402812;-170.047635971877;-170.047635971877;295.847048994904;28.8470489949038;28.8470489949038;24.1018751170341;10.1018751170341;38.1018751170341;292.536550474234;11.5365504742338;11.5365504742338;96.6555008038031;41.6555008038031;41.6555008038031;241.221979713683;34.2219797136834;34.2219797136834;246.503662606919;39.5036626069187;39.5036626069187;70.8780713359814;32.8780713359814;32.8780713359814;567.101463286938;150.101463286938;150.101463286938;81.1655334946814;21.1655334946814;21.1655334946814;4.07863189955556;0.0786318995555559;0.0786318995555559;45.5767809915131;-4.42321900848694;-4.42321900848694;225.094078742858;50.0940787428579;50.0940787428579;15.156892217316;-2.84310778268401;-2.84310778268401;15.2545837713073;-2.74541622869274;-2.74541622869274;158.700075027369;-1.29992497263126;-1.29992497263126
5;SNEV05;open;SNEV05_open;94;97;344;6049;246;-36;282;34;185;185;17;433;60;5;49;177;19;19;162;120.005696850328;26.0056968503279;26.0056968503279;99.4369599284466;2.43695992844663;2.43695992844663;335.683062717477;-8.31693728252282;-8.31693728252282;6429.14198436932;380.141984369319;380.141984369319;282.353315726904;36.3533157269044;36.3533157269044;-10.0151164466488;-25.9848835533512;25.9848835533512;295.202193216251;13.2021932162512;13.2021932162512;73.1675487437614;39.1675487437614;39.1675487437614;224.337123742665;39.3371237426652;39.3371237426652;225.446671732918;40.4466717329181;40.4466717329181;41.1916700720386;24.1916700720386;24.1916700720386;585.793366724703;152.793366724703;152.793366724703;81.1823143337395;21.1823143337395;21.1823143337395;4.64018157234629;-0.359818427653713;-0.359818427653713;47.1225302711909;-1.87746972880912;-1.87746972880912;232.112026558673;55.1120265586727;55.1120265586727;16.7405598854085;-2.25944011459147;-2.25944011459147;16.7520249612645;-2.24797503873554;-2.24797503873554;208.588758448668;46.5887584486684;46.5887584486684
6;SNEV06;open;SNEV06_open;67;99;349;5994;219;-63;282;8;157;157;-9;581;80;5;53;230;19;19;223;81.0413030292999;14.0413030292999;14.0413030292999;99.3775850805869;0.377585080586925;0.377585080586925;349.175529751487;0.175529751487375;0.175529751487375;5998.02261662644;4.02261662644469;4.02261662644469;232.62677143863;13.6267714386302;13.6267714386302;-46.6801195345999;-16.3198804654001;16.3198804654001;282.556546640604;0.556546640603983;0.556546640603983;29.4674985696355;21.4674985696355;21.4674985696355;171.144352540456;14.1443525404559;14.1443525404559;171.434841951494;14.4348419514938;14.4348419514938;4.85231227550449;-4.14768772449551;13.8523122755045;583.928836801146;2.92883680114562;2.92883680114562;77.3348127524661;-2.66518724753394;-2.66518724753394;5.00007332618435;7.33261843501865e-05;7.33261843501865e-05;49.5496784491565;-3.45032155084353;-3.45032155084353;223.247725597343;-6.7522744026567;-6.7522744026567;18.9998398212053;-0.000160178794704535;-0.000160178794704535;18.9997804492106;-0.000219550789445577;-0.000219550789445577;206.442250257128;-16.5577497428723;-16.5577497428723
7;SNEV07;open;SNEV07_open;111;103;350;6192;271;-23;294;50;204;204;32;628;99;4;58;285;14;14;263;139.292743108455;28.292743108455;28.292743108455;93.9796137547869;-9.02038624521312;-9.02038624521312;340.561801603655;-9.43819839634455;-9.43819839634455;5842.0960986277;-349.903901372305;-349.903901372305;284.029342025836;13.0293420258362;13.0293420258362;15.809051279768;-7.19094872023202;38.809051279768;277.384534843484;-16.6154651565157;-16.6154651565157;142.981633017947;92.9816330179471;92.9816330179471;231.102254319606;27.1022543196061;27.1022543196061;234.96759112196;30.9675911219604;30.9675911219604;58.2667313678831;26.2667313678831;26.2667313678831;512.334944189532;-115.665055810468;-115.665055810468;82.5053097229487;-16.4946902770513;-16.4946902770513;6.00999082215824;2.00999082215824;2.00999082215824;43.85007709787;-14.14992290213;-14.14992290213;218.628989998794;-66.3710100012056;-66.3710100012056;24.4383314082069;10.4383314082069;10.4383314082069;25.6018549044318;11.6018549044318;11.6018549044318;131.264703869429;-131.735296130571;-131.735296130571
8;SNEV08;open;SNEV08_open;99;103;352;6157;257;-35;293;37;191;191;20;638;99;4;58;285;14;14;265;133.315558775658;34.3155587756578;34.3155587756578;94.748144040352;-8.251855959648;-8.251855959648;339.777467883225;-12.2225321167746;-12.2225321167746;5917.3743239275;-239.625676072501;-239.625676072501;279.679659321273;22.6796593212728;22.6796593212728;11.8256824689947;-23.1743175310053;46.8256824689947;281.757167015172;-11.2428329848283;-11.2428329848283;123.044177759902;86.0441777599024;86.0441777599024;223.511897091824;32.5118970918237;32.5118970918237;226.475604664861;35.4756046648611;35.4756046648611;53.4212857483059;33.4212857483059;33.4212857483059;529.252940999714;-108.747059000286;-108.747059000286;75.4082404160408;-23.5917595839592;-23.5917595839592;7.93856808154177;3.93856808154177;3.93856808154177;41.4422762621593;-16.5577237378407;-16.5577237378407;211.999029834338;-73.0009701656618;-73.0009701656618;27.5426830784608;13.5426830784608;13.5426830784608;23.6312738738949;9.63127387389491;9.63127387389491;135.514856882925;-129.485143117075;-129.485143117075
9;SNEV09;open;SNEV09_open;109;105;350;6302;272;-27;299;46;204;204;29;615;92;4;58;269;12;12;252;126.505288771996;17.5052887719959;17.5052887719959;98.9118771799716;-6.08812282002837;-6.08812282002837;341.632229733362;-8.36777026663782;-8.36777026663782;6000.48927320033;-301.510726799674;-301.510726799674;281.02203373578;9.0220337357797;9.0220337357797;5.28034968133539;-21.7196503186646;32.2803496813354;285.87701600048;-13.12298399952;-13.12298399952;83.5842385165882;37.5842385165882;37.5842385165882;218.748282990195;14.7482829901951;14.7482829901951;219.288091035597;15.2880910355974;15.2880910355974;49.6927232026116;20.6927232026116;20.6927232026116;562.049968049831;-52.9500319501693;-52.9500319501693;78.8576616760735;-13.1423383239265;-13.1423383239265;6.25039608992341;2.25039608992341;2.25039608992341;48.7658261394695;-9.2341738605305;-9.2341738605305;227.069413499064;-41.9305865009358;-41.9305865009358;25.3802406670475;13.3802406670475;13.3802406670475;25.8328391114565;13.8328391114565;13.8328391114565;184.991256611309;-67.0087433886914;-67.0087433886914
10;SNEV10;open;SNEV10_open;95;104;352;6222;256;-40;296;33;189;189;16;612;91;4;57;265;14;14;249;133.358526432827;38.3585264328269;38.3585264328269;96.264780393393;-7.73521960660698;-7.73521960660698;339.538357269295;-12.4616427307045;-12.4616427307045;5961.23040893158;-260.769591068422;-260.769591068422;281.158404624703;25.1584046247028;25.1584046247028;11.2642622884305;-28.7357377115695;51.2642622884305;288.805314526696;-7.19468547330382;-7.19468547330382;121.131101395785;88.1311013957847;88.1311013957847;226.402941720522;37.4029417205218;37.4029417205218;226.96182445429;37.9618244542897;37.9618244542897;53.8684170757706;37.8684170757706;37.8684170757706;527.267956877588;-84.7320431224124;-84.7320431224124;71.5935666191824;-19.4064333808176;-19.4064333808176;7.83813886779807;3.83813886779807;3.83813886779807;38.843077563523;-18.156922436477;-18.156922436477;206.369805939895;-58.6301940601051;-58.6301940601051;27.4964187126884;13.4964187126884;13.4964187126884;24.7531809083307;10.7531809083307;10.7531809083307;137.67334849046;-111.32665150954;-111.32665150954
