plot;plot_code;nurse;nurse_code;oc_x;oc_y;cic_x;cic_y;cd
1;SNEV01;open;SNEV01_open;0.826882123806142;1.380895877138;0.816515944729412;1.43558289614118;0.0556608274831107
2;SNEV02;open;SNEV02_open;-0.0872612434733943;1.60143609385678;1.10997501883803;1.42131021434507;1.21071053529045
3;SNEV03;open;SNEV03_open;-0.941475862541194;1.83692162050064;0.949523126173077;1.67838390257692;1.89763310029174
4;SNEV04;open;SNEV04_open;0.93439238947851;2.00597599444708;2.23994495210145;1.09597437021739;1.59140518092408
5;SNEV05;open;SNEV05_open;-0.0662905577221743;2.4080191683451;1.05091361744828;1.50269950803448;1.43796691768734
6;SNEV06;open;SNEV06_open;-1.52599332149488;2.29876565242212;-1.2633437806;2.17576937443333;0.290022181447189
7;SNEV07;open;SNEV07_open;0.383630753227157;1.19298861716252;1.63939578784615;1.02446833955769;1.26702206221346
8;SNEV08;open;SNEV08_open;-0.185971930954168;1.39444964747244;1.1661287695625;1.356116576625;1.35264397705319
9;SNEV09;open;SNEV09_open;0.403707518003355;1.52014438072287;0.9096773114625;1.4780445311125;0.507718257727951
10;SNEV10;open;SNEV10_open;-0.24275432510461;1.75017778467697;1.23325917524324;1.79914983954054;1.47682568889043
11;SNEV11;open;SNEV11_open;-1.01336336050769;1.94218905064217;1.06577007916;1.84122067110667;2.08158364559545
12;SNEV12;open;SNEV12_open;0.797954401669816;1.36500566822911;2.12862164113636;1.11283957259091;1.3543496749285
13;SNEV13;open;SNEV13_open;0.0942334234529575;1.47310137461136;1.21582794562264;1.19445541135849;1.15568933758089
14;SNEV14;open;SNEV14_open;-1.31571177504103;2.00873529549546;-0.610695644816667;1.8964939002;0.713894862493356
15;SNEV15;open;SNEV15_open;0.773866946718194;1.92911502618508;2.12159323745968;1.26233771022581;1.50364827796717
16;SNEV16;open;SNEV16_open;0.319893261447782;1.97226237216319;1.27271203141135;1.63773677247518;1.00983710827118
17;LADR;open;LADR_open;1.85302093113505;1.88779293794157;1.00254522810489;0.823422292734216;1.36242203146594
18;CHAZA;open;CHAZA_open;1.78363279055102;1.30590037988077;1.78557723393103;0.936191752152299;0.369713740990144
19;CHAZB;open;CHAZB_open;2.14635304214796;1.24920464728785;1.50992368038124;0.752138092246596;0.807537920260946
20;CHIM;open;CHIM_open;1.20651493546288;1.35848641239726;1.07051687199841;1.07131289036508;0.317748493344111
21;SEGUR;open;SEGUR_open;-0.152921270812571;1.1957407519348;-0.955297009993011;0.792495952734409;0.898005119644382
22;NCABL;open;NCABL_open;0.0835617234651927;1.16137728043115;-0.114526702300347;1.46720883648438;0.364378875760117
23;PALOM;open;PALOM_open;1.11424451153873;1.247482093064;0.453110859615023;0.687242836028169;0.8665827893687
24;QUIBJ;open;QUIBJ_open;1.39241524960536;1.83303811575435;0.245492470940333;0.710262498754394;1.60500995210321
25;RESER;open;RESER_open;0.348359220771322;1.35436938345299;-0.515630826078295;1.33327444986202;0.864247532410947
26;RIOMD;open;RIOMD_open;0.144150395768278;1.19763052523563;-0.766787342582933;1.10283398008;0.915856947413658
27;DNANA;open;DNANA_open;3.64524428153124;-2.56404436587318;2.81190095660894;-1.01186184841899;1.76174108900342
28;CALBL;open;CALBL_open;4.02337503073578;-1.31077130492976;2.9840175091118;0.456006101325466;2.04982108024342
1;SNEV01;facil;SNEV01_facil;0.826882123806142;1.380895877138;1.13914461626316;1.32972725389474;0.316427072482869
2;SNEV02;facil;SNEV02_facil;-0.0872612434733943;1.60143609385678;1.36191588783673;1.2935454397551;1.4815232069716
3;SNEV03;facil;SNEV03_facil;-0.941475862541194;1.83692162050064;1.230941645;1.66878715716667;2.17891418482512
4;SNEV04;facil;SNEV04_facil;0.93439238947851;2.00597599444708;2.15441747667308;1.22470882734615;1.44873724317904
5;SNEV05;facil;SNEV05_facil;-0.0662905577221743;2.4080191683451;0.498186067533333;1.58297760933333;0.99966366071615
6;SNEV06;facil;SNEV06_facil;-1.52599332149488;2.29876565242212;-0.2456424918;2.0113381202;1.31221676310725
7;SNEV07;facil;SNEV07_facil;0.383630753227157;1.19298861716252;0.918030964410256;0.90488569574359;0.607113563546939
8;SNEV08;facil;SNEV08_facil;-0.185971930954168;1.39444964747244;1.20508018055556;1.12643556677778;1.41663598866691
9;SNEV09;facil;SNEV09_facil;0.403707518003355;1.52014438072287;0.85849974535443;1.37381261586076;0.47775407425433
10;SNEV10;facil;SNEV10_facil;-0.24275432510461;1.75017778467697;0.974326216136842;1.59846554807368;1.226499754017
11;SNEV11;facil;SNEV11_facil;-1.01336336050769;1.94218905064217;1.35384057209804;1.96590716729412;2.3673227510421
12;SNEV12;facil;SNEV12_facil;0.797954401669816;1.36500566822911;2.24403841037037;1.08752868959259;1.4724647479287
13;SNEV13;facil;SNEV13_facil;0.0942334234529575;1.47310137461136;1.41905331697101;1.27859326385507;1.33902246262383
14;SNEV14;facil;SNEV14_facil;-1.31571177504103;2.00873529549546;0.0279501037894737;1.67680575047368;1.38405363605631
15;SNEV15;facil;SNEV15_facil;0.773866946718194;1.92911502618508;1.82857133263889;0.994612684847222;1.40914724839042
16;SNEV16;facil;SNEV16_facil;0.319893261447782;1.97226237216319;1.08165965584375;1.19091298890625;1.09123549170059
17;LADR;facil;LADR_facil;1.85302093113505;1.88779293794157;0.845561908390765;0.705161281851826;1.55357372419027
18;CHAZA;facil;CHAZA_facil;1.78363279055102;1.30590037988077;1.15248933803841;0.716270120161866;0.863716331225549
