plot;plot_code;nurse;nurse_code;oc_x;oc_y;cic_x;cic_y;cd
1;SNEV01;open;SNEV01_open;0.826882123806142;1.380895877138;0.805168127076471;1.47626954838824;0.0978142874110124
2;SNEV02;open;SNEV02_open;-0.0872612434733943;1.60143609385678;1.0870551206338;1.45380192265493;1.1835602103469
3;SNEV03;open;SNEV03_open;-0.941475862541194;1.83692162050064;0.949782757782051;1.68654670403205;1.8972273939752
4;SNEV04;open;SNEV04_open;0.93439238947851;2.00597599444708;2.27639692175362;1.072743452;1.63459448883483
5;SNEV05;open;SNEV05_open;-0.0662905577221743;2.4080191683451;1.02773890848276;1.49806078131034;1.4229985028311
6;SNEV06;open;SNEV06_open;-1.52599332149488;2.29876565242212;-1.25480571235;2.18638909276667;0.293549332333957
7;SNEV07;open;SNEV07_open;0.383630753227157;1.19298861716252;1.61990248584615;1.12986560259615;1.23788218819107
8;SNEV08;open;SNEV08_open;-0.185971930954168;1.39444964747244;1.1771865435;1.391771602;1.36316110508031
9;SNEV09;open;SNEV09_open;0.403707518003355;1.52014438072287;0.9059599628375;1.493147271;0.502977496788141
10;SNEV10;open;SNEV10_open;-0.24275432510461;1.75017778467697;1.22846342927928;1.81622705093694;1.47269962530988
11;SNEV11;open;SNEV11_open;-1.01336336050769;1.94218905064217;0.989663309506667;1.84039717256;2.00561148461817
12;SNEV12;open;SNEV12_open;0.797954401669816;1.36500566822911;2.17720760211364;1.10685684959091;1.40320355027302
13;SNEV13;open;SNEV13_open;0.0942334234529575;1.47310137461136;1.28855383043396;1.22941243098113;1.21892802731699
14;SNEV14;open;SNEV14_open;-1.31571177504103;2.00873529549546;-0.584477112283333;1.90932466163333;0.737961114248733
15;SNEV15;open;SNEV15_open;0.773866946718194;1.92911502618508;2.08511544178226;1.2934732728629;1.45719355419047
16;SNEV16;open;SNEV16_open;0.319893261447782;1.97226237216319;1.24461370546099;1.64295221590071;0.981607395343785
17;LADR;open;LADR_open;1.85302093113505;1.88779293794157;0.981403306870672;0.850918329974542;1.35455757927637
18;CHAZA;open;CHAZA_open;1.78363279055102;1.30590037988077;1.7786713648592;0.972277489399425;0.333659780012549
19;CHAZB;open;CHAZB_open;2.14635304214796;1.24920464728785;1.49060842840696;0.757271913170953;0.819755337491657
20;CHIM;open;CHIM_open;1.20651493546288;1.35848641239726;1.07845994564603;1.11129265828571;0.278393305394998
21;SEGUR;open;SEGUR_open;-0.152921270812571;1.1957407519348;-1.00177910499462;0.746633046793548;0.96034231056925
22;NCABL;open;NCABL_open;0.0835617234651927;1.16137728043115;-0.126815992842014;1.43072047836632;0.34176679445578
23;PALOM;open;PALOM_open;1.11424451153873;1.247482093064;0.384135053633803;0.658709479431925;0.93793017388576
24;QUIBJ;open;QUIBJ_open;1.39241524960536;1.83303811575435;0.220953477989362;0.71979802626827;1.61605265359662
25;RESER;open;RESER_open;0.348359220771322;1.35436938345299;-0.565868385737209;1.27031108376899;0.91808382746244
26;RIOMD;open;RIOMD_open;0.144150395768278;1.19763052523563;-0.814831951184;1.0252897127824;0.974345163380585
27;DNANA;open;DNANA_open;3.64524428153124;-2.56404436587318;2.85536367822346;-1.07148920308939;1.68867767245097
28;CALBL;open;CALBL_open;4.02337503073578;-1.31077130492976;2.99480767595776;0.450045945941615;2.03922244845462
1;SNEV01;facil;SNEV01_facil;0.826882123806142;1.380895877138;1.170583522;1.36773140192105;0.343953419125542
2;SNEV02;facil;SNEV02_facil;-0.0872612434733943;1.60143609385678;1.34386804904082;1.32406689614286;1.45776017359945
3;SNEV03;facil;SNEV03_facil;-0.941475862541194;1.83692162050064;1.22679969325;1.67986053291667;2.173956547651
4;SNEV04;facil;SNEV04_facil;0.93439238947851;2.00597599444708;2.17641446888462;1.195273427;1.48319165942826
5;SNEV05;facil;SNEV05_facil;-0.0662905577221743;2.4080191683451;0.496199612733333;1.5687546554;1.01032673653034
6;SNEV06;facil;SNEV06_facil;-1.52599332149488;2.29876565242212;-0.264903452133333;2.0014286684;1.29566853040185
7;SNEV07;facil;SNEV07_facil;0.383630753227157;1.19298861716252;0.998664089435897;0.968840870128205;0.654605390406016
8;SNEV08;facil;SNEV08_facil;-0.185971930954168;1.39444964747244;1.24592599561111;1.16586728288889;1.45002812714118
9;SNEV09;facil;SNEV09_facil;0.403707518003355;1.52014438072287;0.858431663227848;1.39411927540506;0.471864785103222
10;SNEV10;facil;SNEV10_facil;-0.24275432510461;1.75017778467697;0.969472843052631;1.61104874647368;1.22018506649192
11;SNEV11;facil;SNEV11_facil;-1.01336336050769;1.94218905064217;1.31129250078431;1.96484965505882;2.32476630576748
12;SNEV12;facil;SNEV12_facil;0.797954401669816;1.36500566822911;2.26058072037037;1.10656480987037;1.48528361784029
13;SNEV13;facil;SNEV13_facil;0.0942334234529575;1.47310137461136;1.47702972678261;1.31480353408696;1.39182751187668
14;SNEV14;facil;SNEV14_facil;-1.31571177504103;2.00873529549546;0.0203475418947369;1.68793109273684;1.37403414618359
15;SNEV15;facil;SNEV15_facil;0.773866946718194;1.92911502618508;1.81373339509722;1.02663211631944;1.37687967268892
16;SNEV16;facil;SNEV16_facil;0.319893261447782;1.97226237216319;1.0651607248125;1.20363669140625;1.07061152107996
17;LADR;facil;LADR_facil;1.85302093113505;1.88779293794157;0.824912579026878;0.726642470954514;1.55089560920742
18;CHAZA;facil;CHAZA_facil;1.78363279055102;1.30590037988077;1.13573274316598;0.741746179408779;0.85909512471654
19;CHAZB;facil;CHAZB_facil;2.14635304214796;1.24920464728785;1.0486991854374;0.87610954705255;1.1593290917471
