plot;plot_code;nurse;nurse_code;oc_bio01;oc_bio02;oc_bio03;oc_bio04;oc_bio05;oc_bio06;oc_bio07;oc_bio08;oc_bio09;oc_bio10;oc_bio11;oc_bio12;oc_bio13;oc_bio14;oc_bio15;oc_bio16;oc_bio17;oc_bio18;oc_bio19;cic_bio01;cd_abs_bio01;cd_bio01;cic_bio02;cd_abs_bio02;cd_bio02;cic_bio03;cd_abs_bio03;cd_bio03;cic_bio04;cd_abs_bio04;cd_bio04;cic_bio05;cd_abs_bio05;cd_bio05;cic_bio06;cd_abs_bio06;cd_bio06;cic_bio07;cd_abs_bio07;cd_bio07;cic_bio08;cd_abs_bio08;cd_bio08;cic_bio09;cd_abs_bio09;cd_bio09;cic_bio10;cd_abs_bio10;cd_bio10;cic_bio11;cd_abs_bio11;cd_bio11;cic_bio12;cd_abs_bio12;cd_bio12;cic_bio13;cd_abs_bio13;cd_bio13;cic_bio14;cd_abs_bio14;cd_bio14;cic_bio15;cd_abs_bio15;cd_bio15;cic_bio16;cd_abs_bio16;cd_bio16;cic_bio17;cd_abs_bio17;cd_bio17;cic_bio18;cd_abs_bio18;cd_bio18;cic_bio19;cd_abs_bio19;cd_bio19
11;SNEV11;open;SNEV11_open;79;104;354;6155;239;-55;294;18;172;172;1;636;93;4;56;270;14;14;253;126.658533989835;47.6585339898348;47.6585339898348;95.2456264903075;-8.75437350969253;-8.75437350969253;342.029422908603;-11.970577091397;-11.970577091397;5797.36068369071;-357.639316309288;-357.639316309288;282.311051978976;43.3110519789756;43.3110519789756;9.05612050607746;-45.9438794939225;64.0561205060775;275.316497378816;-18.6835026211839;-18.6835026211839;114.876622701614;96.8766227016137;96.8766227016137;220.694136908926;48.6941369089262;48.6941369089262;225.161683583539;53.1616835835389;53.1616835835389;50.8981933616901;49.8981933616901;49.8981933616901;474.212933096563;-161.787066903437;-161.787066903437;57.9264778652758;-35.0735221347242;-35.0735221347242;6.57898794774087;2.57898794774087;2.57898794774087;33.6573935489362;-22.3426064510638;-22.3426064510638;162.899835422208;-107.100164577792;-107.100164577792;26.6422843173106;12.6422843173106;12.6422843173106;26.6470155908634;12.6470155908634;12.6470155908634;117.777652057485;-135.222347942515;-135.222347942515
12;SNEV12;open;SNEV12_open;117;98;345;6074;271;-14;285;57;209;209;40;525;85;4;54;236;14;14;207;153.882038710772;36.8820387107717;36.8820387107717;100.257060381728;2.25706038172764;2.25706038172764;343.944242099806;-1.05575790019395;-1.05575790019395;5813.91702579426;-260.082974205738;-260.082974205738;295.097697847702;24.0976978477019;24.0976978477019;29.9938840282511;15.9938840282511;43.9938840282511;298.182618626485;13.1826186264847;13.1826186264847;100.408505699085;43.4085056990852;43.4085056990852;240.77652055599;31.7765205559904;31.7765205559904;245.999194464406;36.9991944644058;36.9991944644058;74.0245998956992;34.0245998956992;34.0245998956992;571.269116421077;46.2691164210772;46.2691164210772;83.2949706035212;-1.70502939647881;-1.70502939647881;4.04523799037247;0.0452379903724669;0.0452379903724669;45.4226719176284;-8.57732808237163;-8.57732808237163;227.280735387724;-8.71926461227568;-8.71926461227568;13.9958416656209;-0.00415833437912205;-0.00415833437912205;14.0370198796153;0.0370198796153378;0.0370198796153378;140.17512397601;-66.8248760239899;-66.8248760239899
13;SNEV13;open;SNEV13_open;104;98;346;6038;257;-26;284;45;195;195;27;563;88;5;53;246;17;17;218;139.549024957622;35.5490249576219;35.5490249576219;100.230299805859;2.23029980585936;2.23029980585936;339.832021511494;-6.16797848850587;-6.16797848850587;6000.56155494327;-37.4384450567322;-37.4384450567322;293.433594141822;36.4335941418216;36.4335941418216;18.3431822702408;-7.65681772975916;44.3431822702408;299.695879570057;15.6958795700566;15.6958795700566;92.6799208885286;47.6799208885286;47.6799208885286;234.933630216939;39.9336302169391;39.9336302169391;237.076487714196;42.0764877141965;42.0764877141965;58.1882447524277;31.1882447524277;31.1882447524277;574.050667275244;11.0506672752438;11.0506672752438;81.2582513995689;-6.74174860043111;-6.74174860043111;4.19480607271196;-0.805193927288038;-0.805193927288038;47.6476087968186;-5.35239120318138;-5.35239120318138;229.872766893341;-16.1272331066589;-16.1272331066589;15.2467175351352;-1.7532824648648;-1.7532824648648;15.3204044988579;-1.6795955011421;-1.6795955011421;153.701093851037;-64.2989061489634;-64.2989061489634
14;SNEV14;open;SNEV14_open;74;99;351;5957;226;-56;282;16;163;163;-2;585;87;5;51;246;19;19;221;99.9171071347432;25.9171071347432;25.9171071347432;97.8652331791451;-1.13476682085491;-1.13476682085491;339.974243390612;-11.0257566093878;-11.0257566093878;6058.86613107665;101.866131076647;101.866131076647;249.969127251983;23.9691272519833;23.9691272519833;-24.8391589777907;-31.1608410222093;31.1608410222093;285.237803535106;3.23780353510625;3.23780353510625;66.1568192130772;50.1568192130772;50.1568192130772;187.15459156246;24.1545915624602;24.1545915624602;190.245980210763;27.2459802107633;27.2459802107633;23.3257765547756;21.3257765547756;25.3257765547756;566.511182665809;-18.4888173341906;-18.4888173341906;76.0136750208745;-10.9863249791255;-10.9863249791255;10.8525130066984;5.85251300669837;5.85251300669837;45.124004235739;-5.87599576426104;-5.87599576426104;216.992356543032;-29.0076434569678;-29.0076434569678;37.0630384390975;18.0630384390975;18.0630384390975;35.2485564879232;16.2485564879232;16.2485564879232;183.360666440929;-37.6393335590713;-37.6393335590713
15;SNEV15;open;SNEV15_open;114;89;332;5887;258;-9;267;57;203;203;40;412;51;6;44;152;22;22;145;153.802523964417;39.802523964417;39.802523964417;96.986718831064;7.986718831064;7.986718831064;342.613455752366;10.6134557523663;10.6134557523663;5851.70914052778;-35.2908594722203;-35.2908594722203;298.166841524513;40.1668415245127;40.1668415245127;30.8066937910171;21.8066937910171;39.8066937910171;278.839796452742;11.8397964527425;11.8397964527425;128.135367308831;71.1353673088315;71.1353673088315;240.918318283895;37.9183182838951;37.9183182838951;243.065174015774;40.0651740157744;40.0651740157744;72.5631298913602;32.5631298913602;32.5631298913602;506.927269455076;94.9272694550763;94.9272694550763;77.0278054401857;26.0278054401857;26.0278054401857;4.7162015721593;-1.2837984278407;-1.2837984278407;44.8118705455738;0.811870545573846;0.811870545573846;207.65965960645;55.6596596064503;55.6596596064503;19.6370709546137;-2.36292904538628;-2.36292904538628;19.679505426698;-2.32049457330201;-2.32049457330201;150.230895496545;5.23089549654529;5.23089549654529
16;SNEV16;open;SNEV16_open;106;90;334;5881;250;-18;268;48;194;194;31;431;57;6;44;165;24;24;153;133.811686750605;27.811686750605;27.811686750605;94.7537436700435;4.75374367004348;4.75374367004348;338.970231838091;4.97023183809068;4.97023183809068;5900.68007123219;19.6800712321919;19.6800712321919;286.627665167426;36.6276651674258;36.6276651674258;15.0550576239298;-2.94494237607019;33.0550576239298;279.178706684091;11.1787066840911;11.1787066840911;109.583865157121;61.5838651571211;61.5838651571211;228.287886277864;34.2878862778642;34.2878862778642;228.777021201103;34.7770212011032;34.7770212011032;57.7574169707705;26.7574169707705;26.7574169707705;488.632311032738;57.6323110327381;57.6323110327381;61.9384845403589;4.93848454035894;4.93848454035894;8.623248897413;2.623248897413;2.623248897413;35.215922062535;-8.78407793746496;-8.78407793746496;174.072528896289;9.07252889628862;9.07252889628862;32.5506795107246;8.5506795107246;8.5506795107246;28.3088179430233;4.3088179430233;4.3088179430233;138.852178506809;-14.1478214931912;-14.1478214931912
17;LADR;open;LADR_open;136;107;341;6700;309;-3;312;67;237;237;50;529;75;4;54;215;16;16;203;142.381126507953;6.3811265079527;6.3811265079527;92.5840766470685;-14.4159233529315;-14.4159233529315;333.843642609562;-7.1563573904383;-7.1563573904383;5821.44713335596;-878.552866644044;-878.552866644044;277.176952860729;-31.8230471392714;-31.8230471392714;21.1865118929205;18.1865118929205;24.1865118929205;278.058502637167;-33.9414973628325;-33.9414973628325;121.56128722617;54.5612872261697;54.5612872261697;223.735835126313;-13.2641648736866;-13.2641648736866;232.145660828659;-4.85433917134051;-4.85433917134051;64.3579935658459;14.3579935658459;14.3579935658459;598.500358058335;69.5003580583352;69.5003580583352;83.6083077014612;8.60830770146123;8.60830770146123;7.58208470677803;3.58208470677803;3.58208470677803;36.7168890642928;-17.2831109357072;-17.2831109357072;231.873696998675;16.873696998675;16.873696998675;25.8408768083139;9.84087680831393;9.84087680831393;26.6898823896145;10.6898823896145;10.6898823896145;154.449262495806;-48.5507375041938;-48.5507375041938
18;CHAZA;open;CHAZA_open;141;106;340;6742;315;2;313;72;244;244;55;649;92;5;53;262;19;19;254;150.404434177287;9.40443417728696;9.40443417728696;97.9738561719807;-8.02614382801929;-8.02614382801929;338.003431431014;-1.99656856898611;-1.99656856898611;5786.45209764948;-955.547902350524;-955.547902350524;281.913480793225;-33.086519206775;-33.086519206775;25.883467748427;23.883467748427;23.883467748427;288.602995584191;-24.3970044158089;-24.3970044158089;125.658413274274;53.6584132742737;53.6584132742737;232.896688419502;-11.1033115804983;-11.1033115804983;239.937994299286;-4.06200570071351;-4.06200570071351;70.3420997436507;15.3420997436507;15.3420997436507;569.642407852876;-79.3575921471236;-79.3575921471236;82.8706195608131;-9.12938043918692;-9.12938043918692;6.07014841654048;1.07014841654048;1.07014841654048;40.1352276096033;-12.8647723903967;-12.8647723903967;228.859129532787;-33.1408704672134;-33.1408704672134;20.294839529911;1.29483952991098;1.29483952991098;21.0192634040684;2.01926340406844;2.01926340406844;135.288296065893;-118.711703934107;-118.711703934107
19;CHAZB;open;CHAZB_open;148;106;339;6774;322;9;314;78;251;251;62;631;90;5;54;256;19;19;248;150.576477446686;2.57647744668628;2.57647744668628;93.0656527326267;-12.9343472673733;-12.9343472673733;335.156839769296;-3.84316023070375;-3.84316023070375;5793.01477886884;-980.985221131157;-980.985221131157;280.650065229048;-41.3499347709515;-41.3499347709515;26.7771254011967;17.7771254011967;17.7771254011967;273.5081916529;-40.4918083470996;-40.4918083470996;121.296815984509;43.2968159845088;43.2968159845088;237.04248131674;-13.9575186832599;-13.9575186832599;241.201008379105;-9.79899162089549;-9.79899162089549;69.9035618931154;7.90356189311538;7.90356189311538;596.281972418794;-34.7180275812065;-34.7180275812065;85.1113482188903;-4.88865178110973;-4.88865178110973;6.53493977473307;1.53493977473307;1.53493977473307;41.1994631090392;-12.8005368909608;-12.8005368909608;235.615397899749;-20.3846021002507;-20.3846021002507;23.3025430029829;4.30254300298293;4.30254300298293;22.5941264098106;3.59412640981061;3.59412640981061;161.290972060036;-86.7090279399637;-86.7090279399637
20;CHIM;open;CHIM_open;130;107;342;6679;303;-9;311;62;231;231;45;672;96;5;53;272;21;21;260;137.744584159527;7.74458415952691;7.74458415952691;97.0607254064896;-9.93927459351042;-9.93927459351042;332.035833999093;-9.96416600090663;-9.96416600090663;5822.41807673489;-856.581923265107;-856.581923265107;274.480251809534;-28.5197481904656;-28.5197481904656;18.9161222147991;9.91612221479908;27.9161222147991;293.694358319092;-17.3056416809076;-17.3056416809076;127.126497825112;65.1264978251122;65.1264978251122;214.421313670669;-16.5786863293314;-16.5786863293314;227.855608364091;-3.14439163590936;-3.14439163590936;59.7005404134808;14.7005404134808;14.7005404134808;582.496993775138;-89.5030062248621;-89.5030062248621;80.9829933295501;-15.0170066704499;-15.0170066704499;12.156724357031;7.15672435703099;7.15672435703099;35.7836905077103;-17.2163094922897;-17.2163094922897;227.976557134471;-44.0234428655286;-44.0234428655286;38.8882097711544;17.8882097711544;17.8882097711544;44.278706866744;23.278706866744;23.278706866744;130.774088936524;-129.225911063476;-129.225911063476
