community;code;lat;long;facilitated_species;nurse;n;canopy_percent;gap_percent;site;Axis1;Axis2;Axis3;genus;sp;sub_sp;recruit_sp;perc_90_dist2d;perc_90_pca1;perc_90_pca2
1;SNEV01;37.081306;-3.536167;Ulex_parviflorus_parviflorus;open;9;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;0.826882123806142;1.380895877138;-1.31496633912442;Ulex;parviflorus;parviflorus;Ulex parviflorus;0.296431481596284;1.04473773150793;1.17987210373233
1;SNEV01;37.081306;-3.536167;Thymus_granatensis_granatensis;open;14;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;0.826882123806142;1.380895877138;-1.31496633912442;Thymus;granatensis;granatensis;Thymus granatensis;0.143903705258103;0.737214560741449;1.26834364694663
1;SNEV01;37.081306;-3.536167;Cistus_clusii_clusii;open;2;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;0.826882123806142;1.380895877138;-1.31496633912442;Cistus;clusii;clusii;Cistus clusii;0.507469062933719;1.16912190479509;1.75559146310541
1;SNEV01;37.081306;-3.536167;Rosmarinus_officinalis;open;2;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;0.826882123806142;1.380895877138;-1.31496633912442;Rosmarinus;officinalis;NA;Rosmarinus officinalis;0.372550934593254;1.01206603756783;1.70416220224813
1;SNEV01;37.081306;-3.536167;Fumana_ericoides;open;65;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;0.826882123806142;1.380895877138;-1.31496633912442;Fumana;ericoides;NA;Fumana ericoides;0.196873523597159;1.02245308743317;1.4035052220988
1;SNEV01;37.081306;-3.536167;Rhamnus_saxatilis;open;0;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;0.826882123806142;1.380895877138;-1.31496633912442;Rhamnus;saxatilis;NA;Rhamnus saxatilis;0.261503726895592;0.584353485011323;1.47869188188572
1;SNEV01;37.081306;-3.536167;Coris_monspeliensis_monspeliensis;open;0;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;0.826882123806142;1.380895877138;-1.31496633912442;Coris;monspeliensis;monspeliensis;Coris monspeliensis;0;0.826882123806142;1.380895877138
1;SNEV01;37.081306;-3.536167;Thymelaea_tartonraira_austroiberica;open;1;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;0.826882123806142;1.380895877138;-1.31496633912442;Thymelaea;tartonraira;austroiberica;Thymelaea tartonraira;0.52698832183223;1.15159058010234;0.965828280525963
1;SNEV01;37.081306;-3.536167;Linum_suffruticosum;open;0;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;0.826882123806142;1.380895877138;-1.31496633912442;Linum;suffruticosum;NA;Linum suffruticosum;0.0722615212430449;0.846535724514286;1.45043337372483
1;SNEV01;37.081306;-3.536167;Arenaria_armerina_armerina;open;70;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;0.826882123806142;1.380895877138;-1.31496633912442;Arenaria;armerina;armerina;Arenaria armerina;0.457260010964839;0.375535124509719;1.45419392522715
1;SNEV01;37.081306;-3.536167;Polygala_rupestris;open;0;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;0.826882123806142;1.380895877138;-1.31496633912442;Polygala;rupestris;NA;Polygala rupestris;0.325066470105395;1.09189875178133;1.19265561342313
1;SNEV01;37.081306;-3.536167;Dianthus_brachyanthus;open;4;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;0.826882123806142;1.380895877138;-1.31496633912442;Dianthus;brachyanthus;NA;Dianthus brachyanthus;0.412807148064414;0.618147409363482;1.73704129754884
1;SNEV01;37.081306;-3.536167;Paronychia_aretioides;open;0;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;0.826882123806142;1.380895877138;-1.31496633912442;Paronychia;aretioides;NA;Paronychia aretioides;0.602603990649922;1.19982978370354;1.8542262189969
1;SNEV01;37.081306;-3.536167;Paronychia_suffruticosa_suffruticosa;open;1;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;0.826882123806142;1.380895877138;-1.31496633912442;Paronychia;suffruticosa;suffruticosa;Paronychia suffruticosa;0.693967115485663;1.47269142053482;1.12688660637352
1;SNEV01;37.081306;-3.536167;Quercus_rotundifolia;open;2;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;0.826882123806142;1.380895877138;-1.31496633912442;Quercus;rotundifolia;NA;Quercus rotundifolia;0.208586031471786;0.829473706414174;1.58946580839544
1;SNEV01;37.081306;-3.536167;Lavandula_lanata;open;0;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;0.826882123806142;1.380895877138;-1.31496633912442;Lavandula;lanata;NA;Lavandula lanata;0.390665722867691;1.04894614253132;1.70231037371735
1;SNEV01;37.081306;-3.536167;Alyssum_serpyllifolium_serpyllifolium;open;0;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;0.826882123806142;1.380895877138;-1.31496633912442;Alyssum;serpyllifolium;serpyllifolium;Alyssum serpyllifolium;0.23468947377943;0.720342175028362;1.59000921582612
2;SNEV02;37.079667;-3.507389;Cistus_clusii_clusii;open;8;44.74;55.26;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;-0.0872612434733943;1.60143609385678;-1.30952985878029;Cistus;clusii;clusii;Cistus clusii;1.16498211069085;1.03581627272225;1.91108139229604
2;SNEV02;37.079667;-3.507389;Echinospartum_boissieri;open;2;44.74;55.26;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;-0.0872612434733943;1.60143609385678;-1.30952985878029;Echinospartum;boissieri;NA;Echinospartum boissieri;0.51031621597643;0.378727999533743;1.39340564971425
2;SNEV02;37.079667;-3.507389;Thymus_granatensis_granatensis;open;11;44.74;55.26;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;-0.0872612434733943;1.60143609385678;-1.30952985878029;Thymus;granatensis;granatensis;Thymus granatensis;0.644260316872662;0.308893477403768;1.09336838869968
2;SNEV02;37.079667;-3.507389;Fumana_ericoides;open;52;44.74;55.26;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;-0.0872612434733943;1.60143609385678;-1.30952985878029;Fumana;ericoides;NA;Fumana ericoides;0.971278187783372;0.883467111959105;1.6341129667651
2;SNEV02;37.079667;-3.507389;Arenaria_armerina_armerina;open;39;44.74;55.26;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;-0.0872612434733943;1.60143609385678;-1.30952985878029;Arenaria;armerina;armerina;Arenaria armerina;0;-0.0872612434733943;1.60143609385678
2;SNEV02;37.079667;-3.507389;Anthyllis_tejedensis_tejedensis;open;9;44.74;55.26;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;-0.0872612434733943;1.60143609385678;-1.30952985878029;Anthyllis;tejedensis;tejedensis;Anthyllis tejedensis;0.958702309226823;0.554948709040323;0.889623973554538
2;SNEV02;37.079667;-3.507389;Alyssum_serpyllifolium_serpyllifolium;open;3;44.74;55.26;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;-0.0872612434733943;1.60143609385678;-1.30952985878029;Alyssum;serpyllifolium;serpyllifolium;Alyssum serpyllifolium;0.41388455418865;0.302933892899488;1.73945123703638
