community;code;lat;long;facilitated_species;nurse;n;canopy_percent;gap_percent;site;Axis1;Axis2;Axis3;genus;sp;sub_sp;recruit_sp;perc_95_dist2d;perc_95_pca1;perc_95_pca2
2;SNEV02;37.079667;-3.507389;Fumana_ericoides;open;52;44.74;55.26;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;-0.0872612434733943;1.60143609385678;-1.30952985878029;Fumana;ericoides;NA;Fumana ericoides;1.14051948079409;1.02245308743317;1.8647207114314
2;SNEV02;37.079667;-3.507389;Arenaria_armerina_armerina;open;39;44.74;55.26;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;-0.0872612434733943;1.60143609385678;-1.30952985878029;Arenaria;armerina;armerina;Arenaria armerina;0;-0.0872612434733943;1.60143609385678
2;SNEV02;37.079667;-3.507389;Anthyllis_tejedensis_tejedensis;open;9;44.74;55.26;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;-0.0872612434733943;1.60143609385678;-1.30952985878029;Anthyllis;tejedensis;tejedensis;Anthyllis tejedensis;1.01725919966637;0.646214641614581;0.896574827152278
2;SNEV02;37.079667;-3.507389;Alyssum_serpyllifolium_serpyllifolium;open;3;44.74;55.26;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;-0.0872612434733943;1.60143609385678;-1.30952985878029;Alyssum;serpyllifolium;serpyllifolium;Alyssum serpyllifolium;0.711838960170049;0.590801673678022;1.8181049324102
2;SNEV02;37.079667;-3.507389;Linum_suffruticosum;open;1;44.74;55.26;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;-0.0872612434733943;1.60143609385678;-1.30952985878029;Linum;suffruticosum;NA;Linum suffruticosum;0.842315722209572;0.749018895376479;1.70209047899061
2;SNEV02;37.079667;-3.507389;Paronychia_suffruticosa_suffruticosa;open;2;44.74;55.26;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;-0.0872612434733943;1.60143609385678;-1.30952985878029;Paronychia;suffruticosa;suffruticosa;Paronychia suffruticosa;2.1335719587136;1.97832590363649;1.06713370690401
2;SNEV02;37.079667;-3.507389;Thymelaea_tartonraira_austroiberica;open;3;44.74;55.26;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;-0.0872612434733943;1.60143609385678;-1.30952985878029;Thymelaea;tartonraira;austroiberica;Thymelaea tartonraira;1.6902774911051;1.44293191347191;0.883420147394376
2;SNEV02;37.079667;-3.507389;Ulex_parviflorus_parviflorus;open;2;44.74;55.26;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;-0.0872612434733943;1.60143609385678;-1.30952985878029;Ulex;parviflorus;parviflorus;Ulex parviflorus;1.28378865385937;1.0545907783493;1.01467611904811
2;SNEV02;37.079667;-3.507389;Rosmarinus_officinalis;open;4;44.74;55.26;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;-0.0872612434733943;1.60143609385678;-1.30952985878029;Rosmarinus;officinalis;NA;Rosmarinus officinalis;1.03456910740629;0.903431225724992;1.89953283901355
2;SNEV02;37.079667;-3.507389;Quercus_rotundifolia;open;4;44.74;55.26;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;-0.0872612434733943;1.60143609385678;-1.30952985878029;Quercus;rotundifolia;NA;Quercus rotundifolia;2.35634930898598;2.21860872956517;1.11631164240353
2;SNEV02;37.079667;-3.507389;Polygala_rupestris;open;0;44.74;55.26;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;-0.0872612434733943;1.60143609385678;-1.30952985878029;Polygala;rupestris;NA;Polygala rupestris;1.30440166760125;1.09189875178133;1.04372163642197
2;SNEV02;37.079667;-3.507389;Helianthemum_cinereum_rotundifolium;open;2;44.74;55.26;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;-0.0872612434733943;1.60143609385678;-1.30952985878029;Helianthemum;cinereum;rotundifolium;Helianthemum cinereum;0.975914942215716;0.843171429357388;1.89589324824239
2;SNEV02;37.079667;-3.507389;Sideritis_incana;open;0;44.74;55.26;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;-0.0872612434733943;1.60143609385678;-1.30952985878029;Sideritis;incana;NA;Sideritis incana;1.09311383409255;0.936548619427688;1.98446509916968
3;SNEV03;37.077306;-3.481778;Ulex_parviflorus_parviflorus;open;11;34.9;65.1;Sierra Nevada, high-elevation dolomites (Trevenque 3)  ;-0.941475862541194;1.83692162050064;-1.28419644582938;Ulex;parviflorus;parviflorus;Ulex parviflorus;2.15878894279519;1.0545907783493;1.01467611904811
3;SNEV03;37.077306;-3.481778;Thymelaea_tartonraira_austroiberica;open;9;34.9;65.1;Sierra Nevada, high-elevation dolomites (Trevenque 3)  ;-0.941475862541194;1.83692162050064;-1.28419644582938;Thymelaea;tartonraira;austroiberica;Thymelaea tartonraira;2.56798861008525;1.44293191347191;0.883420147394376
3;SNEV03;37.077306;-3.481778;Helianthemum_apenninum_suffruticosum;open;13;34.9;65.1;Sierra Nevada, high-elevation dolomites (Trevenque 3)  ;-0.941475862541194;1.83692162050064;-1.28419644582938;Helianthemum;apenninum;suffruticosum;Helianthemum apenninum;1.16235451401053;-1.39419102313219;0.76635308013916
