species;variable;perc_95;position
Acer granatense;bio01;121.002138437309;start
Acer granatense;bio01;123.482177055114;end
Acer granatense;bio02;102.796317307037;start
Acer granatense;bio02;103.999073727234;end
Acer granatense;bio03;342.007217712553;start
Acer granatense;bio03;344.944160593699;end
Acer granatense;bio04;5725.01001166544;start
Acer granatense;bio04;5746.95086110201;end
Acer granatense;bio05;254.975378276178;start
Acer granatense;bio05;256.996393610284;end
Acer granatense;bio06;0.00433264502859743;start
Acer granatense;bio06;4.6139778145006;end
Acer granatense;bio07;248.9581970607;start
Acer granatense;bio07;250.998080815431;end
Acer granatense;bio08;146.488960703112;start
Acer granatense;bio08;149.998457237885;end
Acer granatense;bio09;206.140261073863;start
Acer granatense;bio09;210.995084209521;end
Acer granatense;bio10;207.453258133649;start
Acer granatense;bio10;210.999162582249;end
Acer granatense;bio11;44.0001833179144;start
Acer granatense;bio11;46.2461595519312;end
Acer granatense;bio12;502.040245105451;start
Acer granatense;bio12;519.04010063695;end
Acer granatense;bio13;77.0027213741627;start
Acer granatense;bio13;78.2081577966496;end
Acer granatense;bio14;7.00016825736773;start
Acer granatense;bio14;7.2608325412984;end
Acer granatense;bio15;36.9187977002632;start
Acer granatense;bio15;36.999305289524;end
Acer granatense;bio16;207.002381732706;start
Acer granatense;bio16;215.989167302854;end
Acer granatense;bio17;70.0580157589981;start
Acer granatense;bio17;73.0888920628183;end
Acer granatense;bio18;17.8460017393301;start
Acer granatense;bio18;20.9969462592825;end
Acer granatense;bio19;99.0006172643746;start
Acer granatense;bio19;102.662814855264;end
Acer monspessulanum;bio01;126.004503713906;start
Acer monspessulanum;bio01;127.599754286704;end
Acer monspessulanum;bio02;77.2258713604078;start
Acer monspessulanum;bio02;78.9991571570443;end
Acer monspessulanum;bio03;296.001487516333;start
Acer monspessulanum;bio03;298.56337782439;end
Acer monspessulanum;bio04;5794.09337699502;start
Acer monspessulanum;bio04;5836.84707904362;end
Acer monspessulanum;bio05;261.841314551965;start
Acer monspessulanum;bio05;263.997131632005;end
Acer monspessulanum;bio06;18.9469023275181;start
Acer monspessulanum;bio06;20.9954184015331;end
Acer monspessulanum;bio07;244.554377543248;start
Acer monspessulanum;bio07;246.998743750394;end
Acer monspessulanum;bio08;68.005066910683;start
Acer monspessulanum;bio08;71.6024298874637;end
Acer monspessulanum;bio09;198.67956158579;start
Acer monspessulanum;bio09;201.996479559747;end
Acer monspessulanum;bio10;204.00147338445;start
Acer monspessulanum;bio10;206.883579883713;end
Acer monspessulanum;bio11;53.0006209146124;start
Acer monspessulanum;bio11;54.9990384116443;end
Acer monspessulanum;bio12;786.339263298798;start
Acer monspessulanum;bio12;811.946211148638;end
Acer monspessulanum;bio13;89.3315595112706;start
Acer monspessulanum;bio13;91.9918805295837;end
Acer monspessulanum;bio14;46.1697156944523;start
Acer monspessulanum;bio14;48.9995412939199;end
Acer monspessulanum;bio15;12.4640106415034;start
Acer monspessulanum;bio15;13.3207410732279;end
Acer monspessulanum;bio15;26.0016594481424;start
Acer monspessulanum;bio15;26.4681742379364;end
Acer monspessulanum;bio16;258.676986348989;start
Acer monspessulanum;bio16;266.999792766424;end
Acer monspessulanum;bio17;146.009026763912;start
Acer monspessulanum;bio17;153.382166158505;end
Acer monspessulanum;bio18;158.666894427363;start
Acer monspessulanum;bio18;165.999306050892;end
Acer monspessulanum;bio19;235.405392786647;start
Acer monspessulanum;bio19;243.990643677495;end
Adenocarpus decorticans;bio01;105.899143456199;start
Adenocarpus decorticans;bio01;109.977530425162;end
Adenocarpus decorticans;bio02;95.2326557728527;start
Adenocarpus decorticans;bio02;96.9997727463777;end
Adenocarpus decorticans;bio03;346.416939590782;start
Adenocarpus decorticans;bio03;347.998751298819;end
Adenocarpus decorticans;bio04;6022.52494816248;start
Adenocarpus decorticans;bio04;6052.8440894135;end
Adenocarpus decorticans;bio05;261.178586047893;start
Adenocarpus decorticans;bio05;265.840524422055;end
Adenocarpus decorticans;bio06;-23.5280795676314;start
Adenocarpus decorticans;bio06;-19.0049525304464;end
Adenocarpus decorticans;bio07;282.756113903638;start
Adenocarpus decorticans;bio07;283.995757076792;end
Adenocarpus decorticans;bio08;59.0008712550053;start
Adenocarpus decorticans;bio08;64.2629039748087;end
Adenocarpus decorticans;bio09;206.003771350597;start
Adenocarpus decorticans;bio09;208.179375170951;end
Adenocarpus decorticans;bio10;205.78093989356;start
Adenocarpus decorticans;bio10;207.994358912231;end
Adenocarpus decorticans;bio11;29.1232687723085;start
Adenocarpus decorticans;bio11;32.6170027364557;end
Adenocarpus decorticans;bio12;558.071588816676;start
Adenocarpus decorticans;bio12;570.209111663587;end
Adenocarpus decorticans;bio13;75.3998760736927;start
Adenocarpus decorticans;bio13;79.9982143311712;end
Adenocarpus decorticans;bio14;4.00053157030772;start
Adenocarpus decorticans;bio14;4.27444961350508;end
Adenocarpus decorticans;bio15;54.6672064322403;start
Adenocarpus decorticans;bio15;55.9987815442125;end
Adenocarpus decorticans;bio16;215.275860760254;start
Adenocarpus decorticans;bio16;225.82754941953;end
Adenocarpus decorticans;bio17;14.0013755607107;start
Adenocarpus decorticans;bio17;14.806220491406;end
Adenocarpus decorticans;bio18;14.0012898913019;start
Adenocarpus decorticans;bio18;14.8080692472392;end
Adenocarpus decorticans;bio19;219.078899101945;start
Adenocarpus decorticans;bio19;224.236997846265;end
Alyssum serpyllifolium;bio01;127.014279423175;start
Alyssum serpyllifolium;bio01;129.99614723965;end
Alyssum serpyllifolium;bio02;96.0002456630309;start
Alyssum serpyllifolium;bio02;96.3409513810761;end
Alyssum serpyllifolium;bio03;337.588075877485;start
Alyssum serpyllifolium;bio03;339.998562326626;end
Alyssum serpyllifolium;bio04;6051.05371511522;start
Alyssum serpyllifolium;bio04;6113.94186499808;end
Alyssum serpyllifolium;bio05;277.903292066535;start
Alyssum serpyllifolium;bio05;280.998477747478;end
Alyssum serpyllifolium;bio06;11.0021885875087;start
Alyssum serpyllifolium;bio06;14.0705272757814;end
Alyssum serpyllifolium;bio07;302.00171073127;start
Alyssum serpyllifolium;bio07;305.784397873459;end
Alyssum serpyllifolium;bio08;61.4610406732663;start
Alyssum serpyllifolium;bio08;66.9959630460897;end
Alyssum serpyllifolium;bio09;215.000681779516;start
Alyssum serpyllifolium;bio09;220.123172868708;end
Alyssum serpyllifolium;bio10;213.005125144239;start
Alyssum serpyllifolium;bio10;216.969105210609;end
Alyssum serpyllifolium;bio11;49.0037015562301;start
Alyssum serpyllifolium;bio11;52.3089201103654;end
Alyssum serpyllifolium;bio12;471.651195636421;start
Alyssum serpyllifolium;bio12;496.561672221319;end
Alyssum serpyllifolium;bio13;54.2450058625285;start
Alyssum serpyllifolium;bio13;57.3014438434314;end
Alyssum serpyllifolium;bio14;4.00062937041992;start
Alyssum serpyllifolium;bio14;4.23979619146542;end
Alyssum serpyllifolium;bio15;29.5618529041397;start
Alyssum serpyllifolium;bio15;30.9998997817059;end
Alyssum serpyllifolium;bio16;155.793003407611;start
Alyssum serpyllifolium;bio16;164.659715005545;end
Alyssum serpyllifolium;bio17;15.0004510617793;start
Alyssum serpyllifolium;bio17;17.091353844132;end
Alyssum serpyllifolium;bio18;15.000475278204;start
Alyssum serpyllifolium;bio18;18.4571116879565;end
Alyssum serpyllifolium;bio19;127.442341395823;start
Alyssum serpyllifolium;bio19;135.391152570305;end
Amelanchier ovalis;bio01;99.0024341613993;start
Amelanchier ovalis;bio01;102.568842364587;end
Amelanchier ovalis;bio02;82.0012930258605;start
Amelanchier ovalis;bio02;82.2160253205064;end
Amelanchier ovalis;bio03;299.580441415883;start
Amelanchier ovalis;bio03;300.999247904413;end
Amelanchier ovalis;bio04;6424.06599239831;start
Amelanchier ovalis;bio04;6455.51155519781;end
Amelanchier ovalis;bio05;238.573978361024;start
Amelanchier ovalis;bio05;241.995440029788;end
Amelanchier ovalis;bio06;-12.190437234399;start
Amelanchier ovalis;bio06;-9.00291261415055;end
Amelanchier ovalis;bio07;271.0032428463;start
Amelanchier ovalis;bio07;272.876233882205;end
Amelanchier ovalis;bio08;152.001316779808;start
Amelanchier ovalis;bio08;158.489640741378;end
Amelanchier ovalis;bio09;185.571290471494;start
Amelanchier ovalis;bio09;190.996878548074;end
Amelanchier ovalis;bio10;188.000325352283;start
Amelanchier ovalis;bio10;191.167715925616;end
Amelanchier ovalis;bio11;27.0054162644276;start
Amelanchier ovalis;bio11;31.3467072513294;end
Amelanchier ovalis;bio12;762.562460285598;start
Amelanchier ovalis;bio12;794.992923366185;end
Amelanchier ovalis;bio13;94.4916094301056;start
Amelanchier ovalis;bio13;97.9967359935598;end
Amelanchier ovalis;bio14;38.001352327526;start
Amelanchier ovalis;bio14;40.8372176082389;end
Amelanchier ovalis;bio15;24.0010835376568;start
Amelanchier ovalis;bio15;25.8464719060749;end
Amelanchier ovalis;bio16;276.008109307927;start
Amelanchier ovalis;bio16;286.662261415666;end
Amelanchier ovalis;bio17;137.119383379723;start
Amelanchier ovalis;bio17;144.991052457389;end
Amelanchier ovalis;bio18;158.859121334969;start
Amelanchier ovalis;bio18;166.982408141451;end
Amelanchier ovalis;bio19;186.916659601121;start
Amelanchier ovalis;bio19;195.992072784431;end
Anthyllis tejedensis;bio01;118.264731788975;start
Anthyllis tejedensis;bio01;120.996410954096;end
Anthyllis tejedensis;bio02;97.0009013395544;start
Anthyllis tejedensis;bio02;97.1796321069141;end
Anthyllis tejedensis;bio03;348.00106804472;start
Anthyllis tejedensis;bio03;348.528474348326;end
Anthyllis tejedensis;bio04;5913.42971091573;start
Anthyllis tejedensis;bio04;5931.01777196344;end
Anthyllis tejedensis;bio05;277.11019476021;start
Anthyllis tejedensis;bio05;281.997660775334;end
Anthyllis tejedensis;bio06;-11.9636389555227;start
Anthyllis tejedensis;bio06;-9.00280509035466;end
Anthyllis tejedensis;bio07;278.851244141914;start
Anthyllis tejedensis;bio07;278.998247187472;end
Anthyllis tejedensis;bio08;56.0011562240805;start
Anthyllis tejedensis;bio08;57.3694334402236;end
Anthyllis tejedensis;bio09;211.616743541036;start
Anthyllis tejedensis;bio09;214.999940548205;end
Anthyllis tejedensis;bio10;211.499026260809;start
Anthyllis tejedensis;bio10;214.999862086153;end
Anthyllis tejedensis;bio11;39.0049767087312;start
Anthyllis tejedensis;bio11;41.8428717249438;end
Anthyllis tejedensis;bio12;589.634923558517;start
Anthyllis tejedensis;bio12;605.030026272302;end
Anthyllis tejedensis;bio13;92.0027599135755;start
Anthyllis tejedensis;bio13;92.7576259010276;end
Anthyllis tejedensis;bio14;3.00005100102002;start
Anthyllis tejedensis;bio14;3.14280785615712;end
Anthyllis tejedensis;bio15;59.0002294439632;start
Anthyllis tejedensis;bio15;59.4117657241032;end
Anthyllis tejedensis;bio16;265.005547463637;start
Anthyllis tejedensis;bio16;268.950451931835;end
Anthyllis tejedensis;bio17;13.1393763693579;start
Anthyllis tejedensis;bio17;13.9997340806239;end
Anthyllis tejedensis;bio18;13.1430527056749;start
Anthyllis tejedensis;bio18;13.9997606419849;end
Anthyllis tejedensis;bio19;246.569966013221;start
Anthyllis tejedensis;bio19;251.992824283197;end
Arbutus unedo;bio01;137.384580757275;start
Arbutus unedo;bio01;139.994676600988;end
Arbutus unedo;bio02;74.0017121009147;start
Arbutus unedo;bio02;74.741689741468;end
Arbutus unedo;bio02;94.7336706901563;start
Arbutus unedo;bio02;95.4837160537103;end
Arbutus unedo;bio03;332.122557721698;start
Arbutus unedo;bio03;336.995471797806;end
Arbutus unedo;bio04;5706.68861852858;start
Arbutus unedo;bio04;5785.96241581234;end
