species;variable;perc_90;position
Alyssum serpyllifolium;bio01;125.882819698347;start
Alyssum serpyllifolium;bio01;130.997960537675;end
Alyssum serpyllifolium;bio02;96.0002456630309;start
Alyssum serpyllifolium;bio02;96.3409513810761;end
Alyssum serpyllifolium;bio03;337.001974285561;start
Alyssum serpyllifolium;bio03;340.866222526436;end
Alyssum serpyllifolium;bio04;6022.339160568;start
Alyssum serpyllifolium;bio04;6148.77054522835;end
Alyssum serpyllifolium;bio05;276.06194317764;start
Alyssum serpyllifolium;bio05;282.997451833088;end
Alyssum serpyllifolium;bio06;8.33995354915439;start
Alyssum serpyllifolium;bio06;14.9980479576939;end
Alyssum serpyllifolium;bio07;301.002164310667;start
Alyssum serpyllifolium;bio07;306.527180075925;end
Alyssum serpyllifolium;bio08;59.0052730675767;start
Alyssum serpyllifolium;bio08;69.3069033314437;end
Alyssum serpyllifolium;bio09;213.188108009494;start
Alyssum serpyllifolium;bio09;221.994852305143;end
Alyssum serpyllifolium;bio10;211.276723061428;start
Alyssum serpyllifolium;bio10;218.911055041103;end
Alyssum serpyllifolium;bio11;47.4845629256217;start
Alyssum serpyllifolium;bio11;53.9396887361943;end
Alyssum serpyllifolium;bio12;460.636675206158;start
Alyssum serpyllifolium;bio12;506.972020644859;end
Alyssum serpyllifolium;bio13;53.0053317164281;start
Alyssum serpyllifolium;bio13;59.1021774091031;end
Alyssum serpyllifolium;bio14;3.00216594275422;start
Alyssum serpyllifolium;bio14;5.37758009741006;end
Alyssum serpyllifolium;bio15;29.0008565947595;start
Alyssum serpyllifolium;bio15;31.5352166825582;end
Alyssum serpyllifolium;bio16;152.010699858842;start
Alyssum serpyllifolium;bio16;170.038646691704;end
Alyssum serpyllifolium;bio17;14.0033657491983;start
Alyssum serpyllifolium;bio17;18.2595806655889;end
Alyssum serpyllifolium;bio18;14.0042394570526;start
Alyssum serpyllifolium;bio18;19.7325954286731;end
Alyssum serpyllifolium;bio19;124.842262974264;start
Alyssum serpyllifolium;bio19;137.991230991864;end
Amelanchier ovalis;bio01;98.0005174463844;start
Amelanchier ovalis;bio01;104.214477590803;end
Amelanchier ovalis;bio02;82.0012930258605;start
Amelanchier ovalis;bio02;82.2160253205064;end
Amelanchier ovalis;bio03;299.003636908864;start
Amelanchier ovalis;bio03;301.523012916534;end
Amelanchier ovalis;bio04;6407.07524475664;start
Amelanchier ovalis;bio04;6474.27745557816;end
Amelanchier ovalis;bio05;237.000563714017;start
Amelanchier ovalis;bio05;243.551690153373;end
Amelanchier ovalis;bio06;-14.0592016686232;start
Amelanchier ovalis;bio06;-7.00289716615151;end
Amelanchier ovalis;bio07;270.879554759023;start
Amelanchier ovalis;bio07;272.999921969482;end
Amelanchier ovalis;bio08;149.005071107598;start
Amelanchier ovalis;bio08;161.39380321326;end
Amelanchier ovalis;bio09;183.963708819174;start
Amelanchier ovalis;bio09;193.993620432562;end
Amelanchier ovalis;bio10;186.00068399522;start
Amelanchier ovalis;bio10;192.91417271809;end
Amelanchier ovalis;bio11;23.0011465515089;start
Amelanchier ovalis;bio11;31.820821924899;end
Amelanchier ovalis;bio12;747.046161139283;start
Amelanchier ovalis;bio12;810.975177441819;end
Amelanchier ovalis;bio13;92.4903325473413;start
Amelanchier ovalis;bio13;100.998651317706;end
Amelanchier ovalis;bio14;37.0021380507647;start
Amelanchier ovalis;bio14;41.9855209993106;end
Amelanchier ovalis;bio15;23.9122121431438;start
Amelanchier ovalis;bio15;25.9998186260189;end
Amelanchier ovalis;bio16;270.006719829518;start
Amelanchier ovalis;bio16;292.78165574337;end
Amelanchier ovalis;bio17;133.00580147462;start
Amelanchier ovalis;bio17;147.906109264215;end
Amelanchier ovalis;bio18;153.566119976899;start
Amelanchier ovalis;bio18;171.999732345455;end
Amelanchier ovalis;bio19;182.456920476677;start
Amelanchier ovalis;bio19;200.99758417935;end
Anthyllis tejedensis;bio01;116.393581591622;start
Anthyllis tejedensis;bio01;122.997641111693;end
Anthyllis tejedensis;bio02;96.1400756028836;start
Anthyllis tejedensis;bio02;97.9991187545357;end
Anthyllis tejedensis;bio03;348.00106804472;start
Anthyllis tejedensis;bio03;348.528474348326;end
Anthyllis tejedensis;bio04;5905.41661746543;start
Anthyllis tejedensis;bio04;5938.96295784214;end
Anthyllis tejedensis;bio05;276.078396379239;start
Anthyllis tejedensis;bio05;282.999838150152;end
Anthyllis tejedensis;bio06;-13.9953642732089;start
Anthyllis tejedensis;bio06;-6.74160115551933;end
Anthyllis tejedensis;bio07;278.625295016332;start
Anthyllis tejedensis;bio07;279.221474034432;end
Anthyllis tejedensis;bio08;54.0013664466406;start
Anthyllis tejedensis;bio08;59.5187919821812;end
Anthyllis tejedensis;bio09;209.604413822704;start
Anthyllis tejedensis;bio09;217.074347275843;end
Anthyllis tejedensis;bio10;209.500761564042;start
Anthyllis tejedensis;bio10;217.060088478944;end
Anthyllis tejedensis;bio11;37.9426363951051;start
Anthyllis tejedensis;bio11;42.9999747895506;end
Anthyllis tejedensis;bio12;583.964149025472;start
Anthyllis tejedensis;bio12;609.986703271557;end
Anthyllis tejedensis;bio13;91.0040862780022;start
Anthyllis tejedensis;bio13;93.789119796925;end
Anthyllis tejedensis;bio14;3.00005100102002;start
Anthyllis tejedensis;bio14;3.14280785615712;end
Anthyllis tejedensis;bio15;59.0002294439632;start
Anthyllis tejedensis;bio15;59.4117657241032;end
Anthyllis tejedensis;bio16;263.98830794668;start
Anthyllis tejedensis;bio16;269.992502168718;end
Anthyllis tejedensis;bio17;13.1393763693579;start
Anthyllis tejedensis;bio17;13.9997340806239;end
Anthyllis tejedensis;bio18;13.1430527056749;start
Anthyllis tejedensis;bio18;13.9997606419849;end
Anthyllis tejedensis;bio19;245.51326343813;start
Anthyllis tejedensis;bio19;252.99146627724;end
Arbutus unedo;bio01;136.807541573317;start
Arbutus unedo;bio01;140.994430535983;end
Arbutus unedo;bio02;73.0024905930928;start
Arbutus unedo;bio02;76.1788571998214;end
Arbutus unedo;bio02;94.3964019696321;start
Arbutus unedo;bio02;95.7882646744822;end
Arbutus unedo;bio03;324.003604363879;start
Arbutus unedo;bio03;326.540295394004;end
Arbutus unedo;bio03;331.297554863876;start
Arbutus unedo;bio03;337.311594388187;end
Arbutus unedo;bio04;5663.0138653473;start
Arbutus unedo;bio04;5824.36323653399;end
Arbutus unedo;bio05;270.56128398521;start
Arbutus unedo;bio05;276.996904873787;end
Arbutus unedo;bio06;19.8285395406932;start
Arbutus unedo;bio06;24.9992490782209;end
Arbutus unedo;bio07;224.180286084245;start
Arbutus unedo;bio07;233.9941019052;end
Arbutus unedo;bio08;83.0063349653332;start
Arbutus unedo;bio08;92.2098606131885;end
Arbutus unedo;bio09;224.111332796694;start
Arbutus unedo;bio09;230.993750155902;end
Arbutus unedo;bio10;235.006291293929;start
Arbutus unedo;bio10;240.359147132964;end
Arbutus unedo;bio11;60.5891892086576;start
Arbutus unedo;bio11;65.9941873497373;end
Arbutus unedo;bio12;724.312023211026;start
Arbutus unedo;bio12;772.952210324438;end
Arbutus unedo;bio13;88.0048857436293;start
Arbutus unedo;bio13;94.4883649209148;end
Arbutus unedo;bio14;3.96740637547324;start
Arbutus unedo;bio14;5.99739268826588;end
Arbutus unedo;bio15;22.922125125029;start
Arbutus unedo;bio15;26.9997819645697;end
Arbutus unedo;bio16;249.489758025368;start
Arbutus unedo;bio16;269.995062253205;end
Arbutus unedo;bio17;11.0062131898914;start
Arbutus unedo;bio17;19.0807010421374;end
Arbutus unedo;bio18;10.6107553058381;start
Arbutus unedo;bio18;19.9905602242393;end
Arbutus unedo;bio19;175.498441514384;start
Arbutus unedo;bio19;193.994986865821;end
Arenaria armerina;bio01;102.864079732974;start
Arenaria armerina;bio01;106.997622813778;end
Arenaria armerina;bio02;104.687295393724;start
Arenaria armerina;bio02;104.999582633258;end
Arenaria armerina;bio03;347.001329124634;start
Arenaria armerina;bio03;348.663719009295;end
Arenaria armerina;bio04;6458.05564046611;start
Arenaria armerina;bio04;6510.02057956068;end
Arenaria armerina;bio05;265.411814121216;start
Arenaria armerina;bio05;270.993363053015;end
Arenaria armerina;bio06;-32.0514267227299;start
Arenaria armerina;bio06;-25.0031164739926;end
Arenaria armerina;bio07;303.000682281831;start
Arenaria armerina;bio07;304.07530379771;end
Arenaria armerina;bio08;42.0003427385489;start
Arenaria armerina;bio08;48.4343734616142;end
Arenaria armerina;bio09;194.142674176318;start
Arenaria armerina;bio09;200.998877747925;end
Arenaria armerina;bio10;194.981196387285;start
Arenaria armerina;bio10;200.993785797517;end
Arenaria armerina;bio11;23.0047118114032;start
Arenaria armerina;bio11;29.3226247328975;end
Arenaria armerina;bio12;602.021689310395;start
Arenaria armerina;bio12;630.585005704514;end
Arenaria armerina;bio13;86.962188705795;start
Arenaria armerina;bio13;91.9961143023081;end
Arenaria armerina;bio14;4.00021744866553;start
Arenaria armerina;bio14;4.29908010219798;end
Arenaria armerina;bio15;51.0006899011272;start
Arenaria armerina;bio15;52.3124948194384;end
Arenaria armerina;bio16;254.004439874841;start
Arenaria armerina;bio16;269.45237909297;end
Arenaria armerina;bio17;14.478045402017;start
Arenaria armerina;bio17;15.9991102615682;end
Arenaria armerina;bio18;14.5510957501174;start
Arenaria armerina;bio18;15.9985333087371;end
Arenaria armerina;bio19;240.004363452209;start
Arenaria armerina;bio19;252.694263196678;end
Argyrolobium zanonii;bio01;127.001432756149;start
Argyrolobium zanonii;bio01;132.285067607095;end
Argyrolobium zanonii;bio02;79.7635302668033;start
Argyrolobium zanonii;bio02;81.9982415002314;end
Argyrolobium zanonii;bio03;294.610888884487;start
Argyrolobium zanonii;bio03;299.993749057521;end
Argyrolobium zanonii;bio04;5728.95032336529;start
Argyrolobium zanonii;bio04;5823.90623417213;end
Argyrolobium zanonii;bio05;268.002245360497;start
Argyrolobium zanonii;bio05;272.214950291376;end
Argyrolobium zanonii;bio06;14.000445768671;start
Argyrolobium zanonii;bio06;20.7672790822127;end
Argyrolobium zanonii;bio07;267.567683995863;start
Argyrolobium zanonii;bio07;272.999182208552;end
Argyrolobium zanonii;bio08;158.003591708064;start
Argyrolobium zanonii;bio08;168.888373393015;end
Argyrolobium zanonii;bio09;219.00657730789;start
Argyrolobium zanonii;bio09;225.076566424716;end
Argyrolobium zanonii;bio10;226.768941141509;start
Argyrolobium zanonii;bio10;231.996828821092;end
Argyrolobium zanonii;bio11;51.3164925032488;start
Argyrolobium zanonii;bio11;56.9970594510497;end
Argyrolobium zanonii;bio12;449.686580282195;start
Argyrolobium zanonii;bio12;499.966233186013;end
Argyrolobium zanonii;bio13;84.0004953723205;start
Argyrolobium zanonii;bio13;90.9177694601095;end
Argyrolobium zanonii;bio14;11.0021444135617;start
Argyrolobium zanonii;bio14;14.9617016075658;end
Argyrolobium zanonii;bio15;34.0006722839693;start
Argyrolobium zanonii;bio15;36.7927137590145;end
Argyrolobium zanonii;bio16;221.010324300788;start
Argyrolobium zanonii;bio16;241.313744043806;end
Argyrolobium zanonii;bio17;56.0000248136805;start
Argyrolobium zanonii;bio17;65.919503605871;end
Argyrolobium zanonii;bio18;57.810740468313;start
Argyrolobium zanonii;bio18;70.9957646094432;end
Argyrolobium zanonii;bio19;94.699307035145;start
Argyrolobium zanonii;bio19;110.993165533506;end
Artemisia barrelieri;bio01;162.004587064171;start
Artemisia barrelieri;bio01;168.065605830432;end
Artemisia barrelieri;bio02;82.0000516031503;start
Artemisia barrelieri;bio02;85.0419197949787;end
Artemisia barrelieri;bio03;338.527081136141;start
Artemisia barrelieri;bio03;341.995289403722;end
Artemisia barrelieri;bio04;5870.01344911973;start
Artemisia barrelieri;bio04;5966.02961225259;end
Artemisia barrelieri;bio05;296.633038775643;start
Artemisia barrelieri;bio05;300.998908654652;end
Artemisia barrelieri;bio06;38.0008349301066;start
Artemisia barrelieri;bio06;47.1702523714879;end
Artemisia barrelieri;bio07;254.212415157674;start
Artemisia barrelieri;bio07;263.998482063943;end
Artemisia barrelieri;bio08;94.0008469076519;start
Artemisia barrelieri;bio08;105.188766503242;end
Artemisia barrelieri;bio09;258.004529241159;start
