community;lat;long;facilitated_species;nurse;n;canopy_percent;gap_percent;site;genus;sp;sub_sp;recruit_sp;dist_bio01;dist_bio02;dist_bio03;dist_bio04;dist_bio05;dist_bio06;dist_bio07;dist_bio08;dist_bio09;dist_bio10;dist_bio11;dist_bio12;dist_bio13;dist_bio14;dist_bio15;dist_bio16;dist_bio17;dist_bio18;dist_bio19;centroid_bio01;centroid_bio02;centroid_bio03;centroid_bio04;centroid_bio05;centroid_bio06;centroid_bio07;centroid_bio08;centroid_bio09;centroid_bio10;centroid_bio11;centroid_bio12;centroid_bio13;centroid_bio14;centroid_bio15;centroid_bio16;centroid_bio17;centroid_bio18;centroid_bio19;population_bio01;population_bio02;population_bio03;population_bio04;population_bio05;population_bio06;population_bio07;population_bio08;population_bio09;population_bio10;population_bio11;population_bio12;population_bio13;population_bio14;population_bio15;population_bio16;population_bio17;population_bio18;population_bio19
1;37.081306;-3.536167;Ulex_parviflorus_parviflorus;open;9;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;Ulex;parviflorus;parviflorus;Ulex parviflorus;-35.355784950765;-2.263579984142;0.136162845999024;546.95107129747;-24.22879973082;-53.2190356708511;10.454583240585;-54.44939290041;-31.896537744989;-33.8321966861;-36.4757728761659;27.805540528452;7.2083105909481;-0.56160148709613;1.6377386341682;28.979616706715;-2.973772199184;-3.0132920062959;123.160425684301;152.355784950765;106.263579984142;348.863837154001;5723.04892870253;303.22879973082;35.2190356708511;286.545416759415;109.44939290041;243.896537744989;245.8321966861;74.4757728761659;560.194459471548;83.7916894090519;3.56160148709613;56.3622613658318;233.020383293285;13.973772199184;14.0132920062959;121.839574315699;117;104;349;6270;279;-18;297;55;212;212;38;588;91;3;58;262;11;11;245
1;37.081306;-3.536167;Thymus_granatensis_granatensis;open;14;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;Thymus;granatensis;granatensis;Thymus granatensis;-2.560398917195;-0.245737284252996;0.635176247700997;176.73273409619;3.68015714109799;-8.81957391518679;-1.58912990370197;1.1522200130572;1.190026637546;1.09090868287799;-5.7832457299294;-11.710360066386;2.5870389095428;-0.75943639564696;0.735043357756503;5.88065045714097;-2.9711816827533;-2.9732624976988;-7.759305927187;119.560398917195;104.245737284253;348.364823752299;6093.26726590381;275.319842858902;-9.18042608481321;298.589129903702;53.8477799869428;210.809973362454;210.909091317122;43.7832457299294;599.710360066386;88.4129610904572;3.75943639564696;57.2649566422435;256.119349542859;13.9711816827533;13.9732624976988;252.759305927187;117;104;349;6270;279;-18;297;55;212;212;38;588;91;3;58;262;11;11;245
1;37.081306;-3.536167;Cistus_clusii_clusii;open;2;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;Cistus;clusii;clusii;Cistus clusii;-28.641724745293;8.6791873015087;10.086716100313;175.33030859472;-15.88488380152;-34.1695029265581;17.528463978606;-118.720404505086;-26.084287173856;-30.36755497606;-25.6252633938212;128.998088568383;36.0637758999798;-4.82680033886346;24.4215931381874;109.417930018361;-10.2314135565344;-6.0105244053689;148.881919304489;145.641724745293;95.3208126984913;338.913283899687;6094.66969140528;294.88488380152;16.1695029265581;279.471536021394;173.720404505086;238.084287173856;242.36755497606;63.6252633938212;459.001911431617;54.9362241000202;7.82680033886346;33.5784068618126;152.582069981639;21.2314135565344;17.0105244053689;96.1180806955115;117;104;349;6270;279;-18;297;55;212;212;38;588;91;3;58;262;11;11;245
1;37.081306;-3.536167;Rosmarinus_officinalis;open;2;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;Rosmarinus;officinalis;NA;Rosmarinus officinalis;-25.79369523615;8.1401810421856;10.964147948273;327.4254188278;-1.31114831490902;-33.7899154666797;8.39362360679797;-110.184387842901;-18.663863473635;-23.900614008383;-21.6107488466523;57.241993665388;19.1851680871288;-3.99274584628362;23.9541422141281;55.477511811188;-13.0965098452787;-10.2059233286816;136.046840582155;142.79369523615;95.8598189578144;338.035852051727;5942.5745811722;280.311148314909;15.7899154666797;288.606376393202;165.184387842901;230.663863473635;235.900614008383;59.6107488466523;530.758006334612;71.8148319128712;6.99274584628362;34.0458577858719;206.522488188812;24.0965098452787;21.2059233286816;108.953159417845;117;104;349;6270;279;-18;297;55;212;212;38;588;91;3;58;262;11;11;245
1;37.081306;-3.536167;Fumana_ericoides;open;65;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;Fumana;ericoides;NA;Fumana ericoides;-22.383906500321;18.5769472457858;13.36461764301;490.92813698022;0.0562931089920085;-38.7024448306636;41.741376512574;-117.324693826018;-15.40792610863;-20.830524837671;-21.613628147396;132.365285465664;20.0717813936369;-3.40053475499098;23.3439686260353;68.613861163302;-24.6768932638839;-15.544359124174;148.680483858055;139.383906500321;85.4230527542142;335.63538235699;5779.07186301978;278.943706891008;20.7024448306636;255.258623487426;172.324693826018;227.40792610863;232.830524837671;59.613628147396;455.634714534336;70.9282186063631;6.40053475499098;34.6560313739647;193.386138836698;35.6768932638839;26.544359124174;96.3195161419455;117;104;349;6270;279;-18;297;55;212;212;38;588;91;3;58;262;11;11;245
1;37.081306;-3.536167;Rhamnus_saxatilis;open;0;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;Rhamnus;saxatilis;NA;Rhamnus saxatilis;3.436451866371;19.6663569146075;36.464251751859;127.06608883721;12.246468797671;-16.289579927176;27.287430244183;-48.653726992688;5.594951685235;8.26280474953501;-1.0978001491133;-47.456545978518;10.2806253085852;-20.1919458065038;28.8291531588134;33.762842817609;-66.6488004831868;-77.0728671734266;77.447856867759;113.563548133629;84.3336430853925;312.535748248141;6142.93391116279;266.753531202329;-1.71042007282402;269.712569755817;103.653726992688;206.405048314765;203.737195250465;39.0978001491133;635.456545978518;80.7193746914148;23.1919458065038;29.1708468411866;228.237157182391;77.6488004831868;88.0728671734266;167.552143132241;117;104;349;6270;279;-18;297;55;212;212;38;588;91;3;58;262;11;11;245
1;37.081306;-3.536167;Coris_monspeliensis_monspeliensis;open;0;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;Coris;monspeliensis;monspeliensis;Coris monspeliensis;-26.421565601532;11.6414383579966;11.960514585278;532.5084585115;-0.990053371423983;-36.1416860794413;45.078320372333;-116.246116064779;-18.764995894289;-24.419795433341;-23.6814648167265;118.644158394408;16.7537179167356;-8.9261833473686;24.3150827336968;62.651989845799;-43.0968773327259;-44.5390067353598;140.567484170155;143.421565601532;92.3585616420034;337.039485414722;5737.4915414885;279.990053371424;18.1416860794413;251.921679627667;171.246116064779;230.764995894289;236.419795433341;61.6814648167265;469.355841605592;74.2462820832644;11.9261833473686;33.6849172663032;199.348010154201;54.0968773327259;55.5390067353598;104.432515829845;117;104;349;6270;279;-18;297;55;212;212;38;588;91;3;58;262;11;11;245
1;37.081306;-3.536167;Thymelaea_tartonraira_austroiberica;open;1;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;Thymelaea;tartonraira;austroiberica;Thymelaea tartonraira;-47.334879402025;6.2601977177186;3.32941309267397;811.56796932486;-5.54381902147702;-79.4591325262277;29.64260408226;-119.458860678638;-27.986220117331;-34.516869024453;-58.1491933103969;64.270315758215;17.8218254454858;-0.83994720729103;11.7049204595;64.527772812748;-3.9636901733419;-3.7912797492254;162.451902317886;164.334879402025;97.7398022822814;345.670586907326;5458.43203067514;284.543819021477;61.4591325262277;267.35739591774;174.458860678638;239.986220117331;246.516869024453;96.1491933103969;523.729684241785;73.1781745545142;3.83994720729103;46.2950795405;197.472227187252;14.9636901733419;14.7912797492254;82.5480976821138;117;104;349;6270;279;-18;297;55;212;212;38;588;91;3;58;262;11;11;245
1;37.081306;-3.536167;Linum_suffruticosum;open;0;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;Linum;suffruticosum;NA;Linum suffruticosum;-15.576094217482;9.5540805429939;11.893094166261;301.58544486512;-5.28767715824;-34.8214791777439;25.326989722746;-46.637711635627;-14.222095191682;-14.574878966361;-16.9714418920676;127.146303384349;28.4748341199231;-10.1287858684372;26.2330903116283;90.506996695283;-44.3863703230476;-39.2474683536476;143.283792396845;132.576094217482;94.4459194570061;337.106905833739;5968.41455513488;284.28767715824;16.8214791777439;271.673010277254;101.637711635627;226.222095191682;226.574878966361;54.9714418920676;460.853696615651;62.5251658800769;13.1287858684372;31.7669096883717;171.493003304717;55.3863703230476;50.2474683536476;101.716207603155;117;104;349;6270;279;-18;297;55;212;212;38;588;91;3;58;262;11;11;245
1;37.081306;-3.536167;Arenaria_armerina_armerina;open;70;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;Arenaria;armerina;armerina;Arenaria armerina;11.969884351987;-0.626046672209995;1.19322361834401;-196.08436770444;10.618174699471;9.2125194128343;-6.52016477428202;9.8675650207344;13.387776445717;13.177194221562;12.3001310540931;-29.494873073584;0.986223432314105;-1.36795774083752;5.8324664175301;-0.730673583177008;-4.5467359081042;-4.5890644226355;-0.870474102917996;105.030115648013;104.62604667221;347.806776381656;6466.08436770444;268.381825300529;-27.2125194128343;303.520164774282;45.1324349792656;198.612223554283;198.822805778438;25.6998689459069;617.494873073584;90.0137765676859;4.36795774083752;52.1675335824699;262.730673583177;15.5467359081042;15.5890644226355;245.870474102918;117;104;349;6270;279;-18;297;55;212;212;38;588;91;3;58;262;11;11;245
