species;pca1;pca2
Acer granatense;-0.31050355042453;0.715416527152052
Acer granatense;-0.411013732889649;0.777868645828326
Acer granatense;-0.411013732889649;0.847259888801962
Acer granatense;-0.411013732889649;0.916651131775598
Acer granatense;-0.411013732889649;0.986042374749235
Acer granatense;-0.411013732889649;1.05543361772287
Acer granatense;-0.31050355042453;1.11788573639914
Acer granatense;-0.29933575237285;1.12482486069651
Acer granatense;-0.198825569907729;1.18727697937278
Acer granatense;-0.0871475893909297;1.18727697937278
Acer granatense;0.0245303911258707;1.18727697937278
Acer granatense;0.125040573590991;1.12482486069651
Acer granatense;0.136208371642671;1.11788573639914
Acer granatense;0.236718554107791;1.05543361772287
Acer granatense;0.247886352159471;1.04849449342551
Acer granatense;0.348396534624591;0.986042374749235
Acer granatense;0.348396534624591;0.916651131775598
Acer granatense;0.348396534624591;0.847259888801962
Acer granatense;0.348396534624591;0.777868645828326
Acer granatense;0.348396534624591;0.708477402854689
Acer granatense;0.247886352159471;0.646025284178416
Acer granatense;0.236718554107791;0.639086159881052
Acer granatense;0.136208371642671;0.57663404120478
Acer granatense;0.0245303911258707;0.57663404120478
Acer granatense;-0.0871475893909297;0.57663404120478
Acer granatense;-0.187657771856049;0.639086159881052
Acer granatense;-0.198825569907729;0.646025284178416
Acer granatense;-0.29933575237285;0.708477402854689
Acer granatense;-0.31050355042453;0.715416527152052
Acer granatense;-0.31050355042453;0.722355651449416
Acer granatense;-0.399845934837969;0.777868645828326
Acer granatense;-0.399845934837969;0.847259888801962
Acer granatense;-0.399845934837969;0.916651131775598
Acer granatense;-0.399845934837969;0.986042374749235
Acer granatense;-0.399845934837969;1.05543361772287
Acer granatense;-0.31050355042453;1.11094661210178
Acer granatense;-0.28816795432117;1.12482486069651
Acer granatense;-0.198825569907729;1.18033785507542
Acer granatense;-0.0871475893909297;1.18033785507542
Acer granatense;0.0245303911258707;1.18033785507542
Acer granatense;0.113872775539311;1.12482486069651
Acer granatense;0.136208371642671;1.11094661210178
Acer granatense;0.225550756056111;1.05543361772287
Acer granatense;0.247886352159471;1.04155536912814
Acer granatense;0.337228736572911;0.986042374749235
Acer granatense;0.337228736572911;0.916651131775598
Acer granatense;0.337228736572911;0.847259888801962
Acer granatense;0.337228736572911;0.777868645828326
Acer granatense;0.337228736572911;0.708477402854689
Acer granatense;0.247886352159471;0.65296440847578
Acer granatense;0.225550756056111;0.639086159881052
Acer granatense;0.136208371642671;0.583573165502143
Acer granatense;0.0245303911258707;0.583573165502143
Acer granatense;-0.0871475893909297;0.583573165502143
Acer granatense;-0.176489973804369;0.639086159881052
Acer granatense;-0.198825569907729;0.65296440847578
Acer granatense;-0.28816795432117;0.708477402854689
Acer granatense;-0.31050355042453;0.722355651449416
Acer granatense;-0.31050355042453;0.72929477574678
Acer granatense;-0.388678136786289;0.777868645828326
Acer granatense;-0.388678136786289;0.847259888801962
Acer granatense;-0.388678136786289;0.916651131775598
Acer granatense;-0.388678136786289;0.986042374749235
Acer granatense;-0.388678136786289;1.05543361772287
Acer granatense;-0.31050355042453;1.10400748780442
Acer granatense;-0.27700015626949;1.12482486069651
Acer granatense;-0.198825569907729;1.17339873077805
Acer granatense;-0.0871475893909297;1.17339873077805
Acer granatense;0.0245303911258707;1.17339873077805
