community;code;lat;long;facilitated_species;nurse;n;canopy_percent;gap_percent;site;Axis1;Axis2;Axis3;genus;sp;sub_sp;recruit_sp;centroid_pca1;centroid_pca2;mode_pca1;mode_pca2;centroid_dist2d;mode_dist2d
2;SNEV02;37.079667;-3.507389;Echinospartum_boissieri;open;2;44.74;55.26;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;-0.0872612434733943;1.60143609385678;-1.30952985878029;Echinospartum;boissieri;NA;Echinospartum boissieri;0.851394296;1.274415809;0.825058566;1.257538365;0.993990185309643;0.974983632001287
2;SNEV02;37.079667;-3.507389;Thymus_granatensis_granatensis;open;11;44.74;55.26;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;-0.0872612434733943;1.60143609385678;-1.30952985878029;Thymus;granatensis;granatensis;Thymus granatensis;0.648942546;0.947525499;0.664617767;0.912359501;0.984680194632213;1.01987675589434
2;SNEV02;37.079667;-3.507389;Fumana_ericoides;open;52;44.74;55.26;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;-0.0872612434733943;1.60143609385678;-1.30952985878029;Fumana;ericoides;NA;Fumana ericoides;1.763155336;1.619939741;1.842470343;1.557243719;1.85050909280328;1.9302375402599
2;SNEV02;37.079667;-3.507389;Arenaria_armerina_armerina;open;39;44.74;55.26;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;-0.0872612434733943;1.60143609385678;-1.30952985878029;Arenaria;armerina;armerina;Arenaria armerina;-0.262174976;1.473974066;-0.284848952;1.454193925;0.216428700434465;0.246416636716037
2;SNEV02;37.079667;-3.507389;Anthyllis_tejedensis_tejedensis;open;9;44.74;55.26;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;-0.0872612434733943;1.60143609385678;-1.30952985878029;Anthyllis;tejedensis;tejedensis;Anthyllis tejedensis;0.987474302;0.725233403;0.969793857;0.757557755;1.38664618708907;1.35258867961716
2;SNEV02;37.079667;-3.507389;Alyssum_serpyllifolium_serpyllifolium;open;3;44.74;55.26;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;-0.0872612434733943;1.60143609385678;-1.30952985878029;Alyssum;serpyllifolium;serpyllifolium;Alyssum serpyllifolium;1.188608415;1.971749517;1.152143846;1.975412323;1.32852377350692;1.29459769649754
2;SNEV02;37.079667;-3.507389;Linum_suffruticosum;open;1;44.74;55.26;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;-0.0872612434733943;1.60143609385678;-1.30952985878029;Linum;suffruticosum;NA;Linum suffruticosum;1.301749366;1.909036229;1.279943854;1.875647103;1.42266240421605;1.39443230602729
2;SNEV02;37.079667;-3.507389;Paronychia_suffruticosa_suffruticosa;open;2;44.74;55.26;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;-0.0872612434733943;1.60143609385678;-1.30952985878029;Paronychia;suffruticosa;suffruticosa;Paronychia suffruticosa;2.645258612;0.945122099;2.644077973;0.947627908;2.81023358822736;2.80850121227299
2;SNEV02;37.079667;-3.507389;Thymelaea_tartonraira_austroiberica;open;3;44.74;55.26;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;-0.0872612434733943;1.60143609385678;-1.30952985878029;Thymelaea;tartonraira;austroiberica;Thymelaea tartonraira;2.482245343;0.810162785;2.598585869;0.801012014;2.6885828139076;2.80257977927413
2;SNEV02;37.079667;-3.507389;Ulex_parviflorus_parviflorus;open;2;44.74;55.26;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;-0.0872612434733943;1.60143609385678;-1.30952985878029;Ulex;parviflorus;parviflorus;Ulex parviflorus;1.620235348;1.110794103;1.438859605;1.014676119;1.77659060368031;1.6350327557083
