community;code;lat;long;facilitated_species;nurse;n;canopy_percent;gap_percent;site;genus;sp;sub_sp;recruit_sp;pop_bio01;pop_bio02;pop_bio03;pop_bio04;pop_bio05;pop_bio06;pop_bio07;pop_bio08;pop_bio09;pop_bio10;pop_bio11;pop_bio12;pop_bio13;pop_bio14;pop_bio15;pop_bio16;pop_bio17;pop_bio18;pop_bio19;closest_p95_bio01;dist_bio01;closest_p95_bio02;dist_bio02;closest_p95_bio03;dist_bio03;closest_p95_bio04;dist_bio04;closest_p95_bio05;dist_bio05;closest_p95_bio06;dist_bio06;closest_p95_bio07;dist_bio07;closest_p95_bio08;dist_bio08;closest_p95_bio09;dist_bio09;closest_p95_bio10;dist_bio10;closest_p95_bio11;dist_bio11;closest_p95_bio12;dist_bio12;closest_p95_bio13;dist_bio13;closest_p95_bio14;dist_bio14;closest_p95_bio15;dist_bio15;closest_p95_bio16;dist_bio16;closest_p95_bio17;dist_bio17;closest_p95_bio18;dist_bio18;closest_p95_bio19;dist_bio19
1;SNEV01;37.081306;-3.536167;Ulex_parviflorus_parviflorus;open;9;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;Ulex;parviflorus;parviflorus;Ulex parviflorus;117;104;349;6270;279;-18;297;55;212;212;38;588;91;3;58;262;11;11;245;148.003346223874;-31.003346223874;106.405764565313;-2.40576456531301;349;0;5734.11431832766;535.88568167234;304.388987701794;-25.388987701794;39.0051687238151;-57.0051687238151;308.463109940006;-11.463109940006;106.002479570266;-51.002479570266;250.006746860693;-38.006746860693;252.000909931963;-40.000909931963;66.9392936236643;-28.9392936236643;579.548625841989;8.45137415801105;83.7860662354086;7.2139337645914;3.13068361367227;-0.13068361367227;53.12350795856;4.87649204144;229.992612310087;32.007387689913;13.1980141096587;-2.1980141096587;13.3526782496347;-2.3526782496347;107.990109168255;137.009890831745
1;SNEV01;37.081306;-3.536167;Thymus_granatensis_granatensis;open;14;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;Thymus;granatensis;granatensis;Thymus granatensis;117;104;349;6270;279;-18;297;55;212;212;38;588;91;3;58;262;11;11;245;118.367823900761;-1.367823900761;105.000601182114;-1.000601182114;348.596948831746;0.403051168254024;5920.09150872025;349.90849127975;275.995569582764;3.00443041723599;-16.4773978210578;-1.5226021789422;299.883304079876;-2.88330407987598;55;0;212;0;212;0;43.0034288468762;-5.0034288468762;594.992485610796;-6.99248561079605;91;0;3.63690703353034;-0.63690703353034;57.999975331954;2.46680460023185e-05;265.078710995504;-3.07871099550403;13.8477384740511;-2.8477384740511;13.851002672116;-2.851002672116;252.00749567627;-7.00749567627
1;SNEV01;37.081306;-3.536167;Cistus_clusii_clusii;open;2;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;Cistus;clusii;clusii;Cistus clusii;117;104;349;6270;279;-18;297;55;212;212;38;588;91;3;58;262;11;11;245;149.003699484721;-32.003699484721;94.9989472414384;9.0010527585616;339.001701331259;9.99829866874097;6175.57133324615;94.4286667538499;292.002858180247;-13.002858180247;13.0004796381081;-31.0004796381081;280.999528095057;16.000471904943;175.124156906323;-120.124156906323;234.168466590177;-22.168466590177;240.785963816256;-28.785963816256;60.0021935907832;-22.0021935907832;467.985268506634;120.014731493366;54.8155214413256;36.1844785586744;3.04164673761429;-0.0416467376142902;32.3345816122213;25.6654183877787;152.289020322783;109.710979677217;13.0021326346909;-2.0021326346909;13.0046110588986;-2.0046110588986;95.9964945882891;149.003505411711
1;SNEV01;37.081306;-3.536167;Rosmarinus_officinalis;open;2;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;Rosmarinus;officinalis;NA;Rosmarinus officinalis;117;104;349;6270;279;-18;297;55;212;212;38;588;91;3;58;262;11;11;245;140.289373739633;-23.289373739633;95.9989331944711;8.00106680552889;338.935437178379;10.064562821621;6039.99545082412;230.00454917588;278.994938234692;0.00506176530802804;14.0040735418465;-32.0040735418465;302.443569259831;-5.44356925983101;169.317570317949;-114.317570317949;229.003395518162;-17.003395518162;231.001600087999;-19.001600087999;56.1518714232117;-18.1518714232117;522.993533371212;65.006466628788;77.4586027439925;13.5413972560075;4.76669421020656;-1.76669421020656;36.6301158285389;21.3698841714611;223.989105456215;38.010894543785;14.0354768658997;-3.0354768658997;14.0699968413877;-3.0699968413877;105.989583876081;139.010416123919
1;SNEV01;37.081306;-3.536167;Fumana_ericoides;open;65;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;Fumana;ericoides;NA;Fumana ericoides;117;104;349;6270;279;-18;297;55;212;212;38;588;91;3;58;262;11;11;245;135.003751993483;-18.003751993483;80.9976030860261;23.0023969139739;337.843231062014;11.156768937986;5783.93544502978;486.06455497022;278.760028641687;0.239971358313028;19.2226849751458;-37.2226849751458;253.675711164489;43.324288835511;172.005839017148;-117.005839017148;224.914556396356;-12.914556396356;231.002087391791;-19.002087391791;56.0033579490026;-18.0033579490026;459.854062217305;128.145937782695;83.9986509180028;7.0013490819972;4.00185413570457;-1.00185413570457;36.9992314780275;21.0007685219725;227.993260109031;34.006739890969;16.4392961152982;-5.4392961152982;16.1102002629703;-5.1102002629703;94.9930692450449;150.006930754955
1;SNEV01;37.081306;-3.536167;Rhamnus_saxatilis;open;0;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;Rhamnus;saxatilis;NA;Rhamnus saxatilis;117;104;349;6270;279;-18;297;55;212;212;38;588;91;3;58;262;11;11;245;113.998597690462;3.00140230953799;82.998016306893;21.001983693107;299.418660822825;49.581339177175;6366.01633671107;-96.0163367110699;269.127235852301;9.872764147699;-3.28067544055335;-14.7193245594467;271.833156967644;25.166843032356;56.0017301267422;-1.0017301267422;203.991879511732;8.00812048826799;205.104415779795;6.895584220205;38;0;539.174772490422;48.825227509578;77.9989428718952;13.0010571281048;22.0001084121589;-19.0001084121589;30.930606897392;27.069393102608;207.992284788634;54.007715211366;74.0037636630379;-63.0037636630379;81.3237285362402;-70.3237285362402;164.267526573716;80.732473426284
1;SNEV01;37.081306;-3.536167;Coris_monspeliensis_monspeliensis;open;0;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;Coris;monspeliensis;monspeliensis;Coris monspeliensis;117;104;349;6270;279;-18;297;55;212;212;38;588;91;3;58;262;11;11;245;144.273342025173;-27.273342025173;93.3194016308505;10.6805983691495;337.994492733733;11.005507266267;5771.94118644179;498.05881355821;279;0;17.4219566152466;-35.4219566152466;248.995686042711;48.004313957289;166.017531579566;-111.017531579566;228.452792965708;-16.452792965708;231.442656457606;-19.442656457606;61.0768444100718;-23.0768444100718;468.799739560636;119.200260439364;78.9963004744347;12.0036995255653;11.1196123548265;-8.1196123548265;37.1451574935465;20.8548425064535;214.993988572439;47.006011427561;50.3608487828498;-39.3608487828498;54.0471635643772;-43.0471635643772;107.240378214963;137.759621785037
1;SNEV01;37.081306;-3.536167;Thymelaea_tartonraira_austroiberica;open;1;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;Thymelaea;tartonraira;austroiberica;Thymelaea tartonraira;117;104;349;6270;279;-18;297;55;212;212;38;588;91;3;58;262;11;11;245;161.604410042586;-44.604410042586;98.9985793618392;5.00142063816079;346.993514975701;2.00648502429902;5206.70542653056;1063.29457346944;292.003917839884;-13.003917839884;67.0057970868424;-85.0057970868424;284.617415669666;12.382584330334;174.29876846278;-119.29876846278;237.812963652654;-25.812963652654;244.75556353096;-32.75556353096;89.0022052902802;-51.0022052902802;588;0;50.7333666140379;40.2666333859621;3.09896185301224;-0.09896185301224;43.2789650529737;14.7210349470263;138.479064271078;123.520935728922;13.9993735552214;-2.9993735552214;14.0000667302263;-3.0000667302263;77.9906024876203;167.00939751238
1;SNEV01;37.081306;-3.536167;Linum_suffruticosum;open;0;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;Linum;suffruticosum;NA;Linum suffruticosum;117;104;349;6270;279;-18;297;55;212;212;38;588;91;3;58;262;11;11;245;130.004523782571;-13.004523782571;95.7994662169518;8.2005337830482;337.732311840662;11.267688159338;5946.91721240841;323.08278759159;281.707077986225;-2.70707798622499;17.0001584391073;-35.0001584391073;272.999845728959;24.000154271041;67.0001771161993;-12.0001771161993;222.002265109525;-10.002265109525;226.000372916322;-14.000372916322;53.0029775969264;-15.0029775969264;468.988900621745;119.011099378255;56.9962692033917;34.0037307966083;12.3451466570166;-9.3451466570166;31.9994625547014;26.0005374452986;172.473940390864;89.526059609136;56.0084180502286;-45.0084180502286;56.0047025215844;-45.0047025215844;103.994599233687;141.005400766313
1;SNEV01;37.081306;-3.536167;Arenaria_armerina_armerina;open;70;38.47;61.53;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;Arenaria;armerina;armerina;Arenaria armerina;117;104;349;6270;279;-18;297;55;212;212;38;588;91;3;58;262;11;11;245;105.994630742701;11.005369257299;104.687295393724;-0.687295393724;347.997594415793;1.002405584207;6470.70319178013;-200.70319178013;269.400648332577;9.59935166742298;-27.0034623857804;9.0034623857804;303.077137567546;-6.077137567546;46.997907620016;8.002092379984;198.867672300365;13.132327699635;199.487214419099;12.512785580901;27.7914845459679;10.2085154540321;607.776313389798;-19.776313389798;90.9949852791814;0.00501472081859333;4.00021744866553;-1.00021744866553;51.9991608446646;6.0008391553354;262;0;14.478045402017;-3.478045402017;14.5510957501174;-3.5510957501174;245;0
