community;code;site;lat;long;recruit_species;recruit_sp;genus;sp;sub_sp;nurse;n;canopy_percent;gap_percent
2;SNEV02;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;37.079667;-3.507389;Polygala_rupestris;Polygala rupestris;Polygala;rupestris;NA;open;0;44.74;55.26
2;SNEV02;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;37.079667;-3.507389;Helianthemum_cinereum_rotundifolium;Helianthemum cinereum;Helianthemum;cinereum;rotundifolium;open;2;44.74;55.26
2;SNEV02;Sierra Nevada, mid-elevation dolomites (Trevenque 2)  ;37.079667;-3.507389;Sideritis_incana;Sideritis incana;Sideritis;incana;NA;open;0;44.74;55.26
3;SNEV03;Sierra Nevada, high-elevation dolomites (Trevenque 3)  ;37.077306;-3.481778;Ulex_parviflorus_parviflorus;Ulex parviflorus;Ulex;parviflorus;parviflorus;open;11;34.9;65.1
3;SNEV03;Sierra Nevada, high-elevation dolomites (Trevenque 3)  ;37.077306;-3.481778;Thymelaea_tartonraira_austroiberica;Thymelaea tartonraira;Thymelaea;tartonraira;austroiberica;open;9;34.9;65.1
3;SNEV03;Sierra Nevada, high-elevation dolomites (Trevenque 3)  ;37.077306;-3.481778;Helianthemum_apenninum_suffruticosum;Helianthemum apenninum;Helianthemum;apenninum;suffruticosum;open;13;34.9;65.1
3;SNEV03;Sierra Nevada, high-elevation dolomites (Trevenque 3)  ;37.077306;-3.481778;Helianthemum_cinereum_rotundifolium;Helianthemum cinereum;Helianthemum;cinereum;rotundifolium;open;51;34.9;65.1
3;SNEV03;Sierra Nevada, high-elevation dolomites (Trevenque 3)  ;37.077306;-3.481778;Alyssum_serpyllifolium_serpyllifolium;Alyssum serpyllifolium;Alyssum;serpyllifolium;serpyllifolium;open;54;34.9;65.1
3;SNEV03;Sierra Nevada, high-elevation dolomites (Trevenque 3)  ;37.077306;-3.481778;Arenaria_armerina_armerina;Arenaria armerina;Arenaria;armerina;armerina;open;2;34.9;65.1
3;SNEV03;Sierra Nevada, high-elevation dolomites (Trevenque 3)  ;37.077306;-3.481778;Erinacea_anthyllis_anthyllis;Erinacea anthyllis;Erinacea;anthyllis;anthyllis;open;3;34.9;65.1
3;SNEV03;Sierra Nevada, high-elevation dolomites (Trevenque 3)  ;37.077306;-3.481778;Fumana_ericoides;Fumana ericoides;Fumana;ericoides;NA;open;1;34.9;65.1
3;SNEV03;Sierra Nevada, high-elevation dolomites (Trevenque 3)  ;37.077306;-3.481778;Dianthus_brachyanthus;Dianthus brachyanthus;Dianthus;brachyanthus;NA;open;7;34.9;65.1
3;SNEV03;Sierra Nevada, high-elevation dolomites (Trevenque 3)  ;37.077306;-3.481778;Ononis_pusilla_pusilla;Ononis pusilla;Ononis;pusilla;pusilla;open;4;34.9;65.1
3;SNEV03;Sierra Nevada, high-elevation dolomites (Trevenque 3)  ;37.077306;-3.481778;Thymus_granatensis_granatensis;Thymus granatensis;Thymus;granatensis;granatensis;open;0;34.9;65.1
3;SNEV03;Sierra Nevada, high-elevation dolomites (Trevenque 3)  ;37.077306;-3.481778;Linum_suffruticosum;Linum suffruticosum;Linum;suffruticosum;NA;open;1;34.9;65.1
4;SNEV04;Sierra Nevada, low-elevation mica schists (Ragua 1)  ;37.02325;-3.008972;Genista_umbellata_equisetiformis;Genista umbellata;Genista;umbellata;equisetiformis;open;12;59.86;40.14
4;SNEV04;Sierra Nevada, low-elevation mica schists (Ragua 1)  ;37.02325;-3.008972;Ulex_parviflorus_parviflorus;Ulex parviflorus;Ulex;parviflorus;parviflorus;open;4;59.86;40.14
4;SNEV04;Sierra Nevada, low-elevation mica schists (Ragua 1)  ;37.02325;-3.008972;Lavandula_stoechas;Lavandula stoechas;Lavandula;stoechas;NA;open;10;59.86;40.14
4;SNEV04;Sierra Nevada, low-elevation mica schists (Ragua 1)  ;37.02325;-3.008972;Cistus_albidus;Cistus albidus;Cistus;albidus;NA;open;27;59.86;40.14
4;SNEV04;Sierra Nevada, low-elevation mica schists (Ragua 1)  ;37.02325;-3.008972;Thymus_mastichina_mastichina;Thymus mastichina;Thymus;mastichina;mastichina;open;5;59.86;40.14
4;SNEV04;Sierra Nevada, low-elevation mica schists (Ragua 1)  ;37.02325;-3.008972;Helichrysum_italicum_serotinum;Helichrysum italicum;Helichrysum;italicum;serotinum;open;2;59.86;40.14
4;SNEV04;Sierra Nevada, low-elevation mica schists (Ragua 1)  ;37.02325;-3.008972;Ruta_montana;Ruta montana;Ruta;montana;NA;open;3;59.86;40.14
4;SNEV04;Sierra Nevada, low-elevation mica schists (Ragua 1)  ;37.02325;-3.008972;Quercus_rotundifolia;Quercus rotundifolia;Quercus;rotundifolia;NA;open;5;59.86;40.14
4;SNEV04;Sierra Nevada, low-elevation mica schists (Ragua 1)  ;37.02325;-3.008972;Ptilostemon_hispanicus;Ptilostemon hispanicus;Ptilostemon;hispanicus;NA;open;0;59.86;40.14
4;SNEV04;Sierra Nevada, low-elevation mica schists (Ragua 1)  ;37.02325;-3.008972;Clematis_flammula;Clematis flammula;Clematis;flammula;NA;open;1;59.86;40.14
4;SNEV04;Sierra Nevada, low-elevation mica schists (Ragua 1)  ;37.02325;-3.008972;Teucrium_compactum;Teucrium compactum;Teucrium;compactum;NA;open;0;59.86;40.14
5;SNEV05;Sierra Nevada, mid-elevation mica schists (Ragua 2)  ;37.060722;-3.011806;Genista_cinerea;Genista cinerea;Genista;cinerea;NA;open;6;60.87;39.13
5;SNEV05;Sierra Nevada, mid-elevation mica schists (Ragua 2)  ;37.060722;-3.011806;Thymus_mastichina_mastichina;Thymus mastichina;Thymus;mastichina;mastichina;open;10;60.87;39.13
5;SNEV05;Sierra Nevada, mid-elevation mica schists (Ragua 2)  ;37.060722;-3.011806;Thymus_zygis_gracilis;Thymus zygis;Thymus;zygis;gracilis;open;6;60.87;39.13
5;SNEV05;Sierra Nevada, mid-elevation mica schists (Ragua 2)  ;37.060722;-3.011806;Quercus_rotundifolia;Quercus rotundifolia;Quercus;rotundifolia;NA;open;0;60.87;39.13
5;SNEV05;Sierra Nevada, mid-elevation mica schists (Ragua 2)  ;37.060722;-3.011806;Teucrium_compactum;Teucrium compactum;Teucrium;compactum;NA;open;1;60.87;39.13
5;SNEV05;Sierra Nevada, mid-elevation mica schists (Ragua 2)  ;37.060722;-3.011806;Adenocarpus_decorticans;Adenocarpus decorticans;Adenocarpus;decorticans;NA;open;5;60.87;39.13
5;SNEV05;Sierra Nevada, mid-elevation mica schists (Ragua 2)  ;37.060722;-3.011806;Genista_umbellata_equisetiformis;Genista umbellata;Genista;umbellata;equisetiformis;open;1;60.87;39.13
6;SNEV06;Sierra Nevada, high-elevation mica schists (Ragua 3)  ;37.102278;-3.024278;Cytisus_galianoi;Cytisus galianoi;Cytisus;galianoi;NA;open;51;45.01;54.99
6;SNEV06;Sierra Nevada, high-elevation mica schists (Ragua 3)  ;37.102278;-3.024278;Thymus_zygis_gracilis;Thymus zygis;Thymus;zygis;gracilis;open;1;45.01;54.99
6;SNEV06;Sierra Nevada, high-elevation mica schists (Ragua 3)  ;37.102278;-3.024278;Helichrysum_italicum_serotinum;Helichrysum italicum;Helichrysum;italicum;serotinum;open;2;45.01;54.99
6;SNEV06;Sierra Nevada, high-elevation mica schists (Ragua 3)  ;37.102278;-3.024278;Genista_versicolor;Genista versicolor;Genista;versicolor;NA;open;6;45.01;54.99
7;SNEV07;Sierra Nevada, low-elevation dolomites (Padul 1) ;37.0375;-3.573444;Rosmarinus_officinalis;Rosmarinus officinalis;Rosmarinus;officinalis;NA;open;9;38.93;61.07
7;SNEV07;Sierra Nevada, low-elevation dolomites (Padul 1) ;37.0375;-3.573444;Thymus_granatensis_granatensis;Thymus granatensis;Thymus;granatensis;granatensis;open;8;38.93;61.07
7;SNEV07;Sierra Nevada, low-elevation dolomites (Padul 1) ;37.0375;-3.573444;Ulex_parviflorus_parviflorus;Ulex parviflorus;Ulex;parviflorus;parviflorus;open;6;38.93;61.07
7;SNEV07;Sierra Nevada, low-elevation dolomites (Padul 1) ;37.0375;-3.573444;Cistus_clusii_clusii;Cistus clusii;Cistus;clusii;clusii;open;0;38.93;61.07
7;SNEV07;Sierra Nevada, low-elevation dolomites (Padul 1) ;37.0375;-3.573444;Argyrolobium_zanonii_zanonii;Argyrolobium zanonii;Argyrolobium;zanonii;zanonii;open;1;38.93;61.07
7;SNEV07;Sierra Nevada, low-elevation dolomites (Padul 1) ;37.0375;-3.573444;Coris_monspeliensis_monspeliensis;Coris monspeliensis;Coris;monspeliensis;monspeliensis;open;4;38.93;61.07
7;SNEV07;Sierra Nevada, low-elevation dolomites (Padul 1) ;37.0375;-3.573444;Fumana_ericoides;Fumana ericoides;Fumana;ericoides;NA;open;13;38.93;61.07
7;SNEV07;Sierra Nevada, low-elevation dolomites (Padul 1) ;37.0375;-3.573444;Helianthemum_syriacum;Helianthemum syriacum;Helianthemum;syriacum;NA;open;9;38.93;61.07
7;SNEV07;Sierra Nevada, low-elevation dolomites (Padul 1) ;37.0375;-3.573444;Lavandula_lanata;Lavandula lanata;Lavandula;lanata;NA;open;0;38.93;61.07
7;SNEV07;Sierra Nevada, low-elevation dolomites (Padul 1) ;37.0375;-3.573444;Polygala_rupestris;Polygala rupestris;Polygala;rupestris;NA;open;0;38.93;61.07
7;SNEV07;Sierra Nevada, low-elevation dolomites (Padul 1) ;37.0375;-3.573444;Quercus_rotundifolia;Quercus rotundifolia;Quercus;rotundifolia;NA;open;1;38.93;61.07
7;SNEV07;Sierra Nevada, low-elevation dolomites (Padul 1) ;37.0375;-3.573444;Halimium_atriplicifolium_atriplicifolium;Halimium atriplicifolium;Halimium;atriplicifolium;atriplicifolium;open;1;38.93;61.07
8;SNEV08;Sierra Nevada, mid-elevation dolomites (Padul 2)  ;37.043028;-3.526278;Rosmarinus_officinalis;Rosmarinus officinalis;Rosmarinus;officinalis;NA;open;2;33.28;66.72
8;SNEV08;Sierra Nevada, mid-elevation dolomites (Padul 2)  ;37.043028;-3.526278;Ulex_parviflorus_parviflorus;Ulex parviflorus;Ulex;parviflorus;parviflorus;open;7;33.28;66.72
8;SNEV08;Sierra Nevada, mid-elevation dolomites (Padul 2)  ;37.043028;-3.526278;Fumana_ericoides;Fumana ericoides;Fumana;ericoides;NA;open;9;33.28;66.72
8;SNEV08;Sierra Nevada, mid-elevation dolomites (Padul 2)  ;37.043028;-3.526278;Thymus_granatensis_granatensis;Thymus granatensis;Thymus;granatensis;granatensis;open;6;33.28;66.72
8;SNEV08;Sierra Nevada, mid-elevation dolomites (Padul 2)  ;37.043028;-3.526278;Coris_monspeliensis_monspeliensis;Coris monspeliensis;Coris;monspeliensis;monspeliensis;open;1;33.28;66.72
8;SNEV08;Sierra Nevada, mid-elevation dolomites (Padul 2)  ;37.043028;-3.526278;Cistus_clusii_clusii;Cistus clusii;Cistus;clusii;clusii;open;9;33.28;66.72
8;SNEV08;Sierra Nevada, mid-elevation dolomites (Padul 2)  ;37.043028;-3.526278;Dianthus_brachyanthus;Dianthus brachyanthus;Dianthus;brachyanthus;NA;open;3;33.28;66.72
8;SNEV08;Sierra Nevada, mid-elevation dolomites (Padul 2)  ;37.043028;-3.526278;Arenaria_armerina_armerina;Arenaria armerina;Arenaria;armerina;armerina;open;2;33.28;66.72
8;SNEV08;Sierra Nevada, mid-elevation dolomites (Padul 2)  ;37.043028;-3.526278;Linum_suffruticosum;Linum suffruticosum;Linum;suffruticosum;NA;open;1;33.28;66.72
8;SNEV08;Sierra Nevada, mid-elevation dolomites (Padul 2)  ;37.043028;-3.526278;Paronychia_suffruticosa_suffruticosa;Paronychia suffruticosa;Paronychia;suffruticosa;suffruticosa;open;1;33.28;66.72
8;SNEV08;Sierra Nevada, mid-elevation dolomites (Padul 2)  ;37.043028;-3.526278;Thymelaea_tartonraira_austroiberica;Thymelaea tartonraira;Thymelaea;tartonraira;austroiberica;open;1;33.28;66.72
8;SNEV08;Sierra Nevada, mid-elevation dolomites (Padul 2)  ;37.043028;-3.526278;Anthyllis_tejedensis_tejedensis;Anthyllis tejedensis;Anthyllis;tejedensis;tejedensis;open;1;33.28;66.72
8;SNEV08;Sierra Nevada, mid-elevation dolomites (Padul 2)  ;37.043028;-3.526278;Alyssum_serpyllifolium_serpyllifolium;Alyssum serpyllifolium;Alyssum;serpyllifolium;serpyllifolium;open;2;33.28;66.72
8;SNEV08;Sierra Nevada, mid-elevation dolomites (Padul 2)  ;37.043028;-3.526278;Helianthemum_apenninum_suffruticosum;Helianthemum apenninum;Helianthemum;apenninum;suffruticosum;open;3;33.28;66.72
9;SNEV09;Sierra Nevada, low-elevation limestones (Granada 1)  ;37.139861;-3.481917;Salvia_lavandulifolia_vellerea;Salvia lavandulifolia;Salvia;lavandulifolia;vellerea;open;3;51.66;48.34
9;SNEV09;Sierra Nevada, low-elevation limestones (Granada 1)  ;37.139861;-3.481917;Teucrium_similatum;Teucrium similatum;Teucrium;similatum;NA;open;23;51.66;48.34
9;SNEV09;Sierra Nevada, low-elevation limestones (Granada 1)  ;37.139861;-3.481917;Genista_cinerea;Genista cinerea;Genista;cinerea;NA;open;3;51.66;48.34
9;SNEV09;Sierra Nevada, low-elevation limestones (Granada 1)  ;37.139861;-3.481917;Bupleurum_spinosum;Bupleurum spinosum;Bupleurum;spinosum;NA;open;0;51.66;48.34
9;SNEV09;Sierra Nevada, low-elevation limestones (Granada 1)  ;37.139861;-3.481917;Santolina_chamaecyparissus_chamaecyparissus;Santolina chamaecyparissus;Santolina;chamaecyparissus;chamaecyparissus;open;1;51.66;48.34
9;SNEV09;Sierra Nevada, low-elevation limestones (Granada 1)  ;37.139861;-3.481917;Thymus_mastichina_mastichina;Thymus mastichina;Thymus;mastichina;mastichina;open;2;51.66;48.34
9;SNEV09;Sierra Nevada, low-elevation limestones (Granada 1)  ;37.139861;-3.481917;Rhamnus_saxatilis;Rhamnus saxatilis;Rhamnus;saxatilis;NA;open;2;51.66;48.34
9;SNEV09;Sierra Nevada, low-elevation limestones (Granada 1)  ;37.139861;-3.481917;Lavandula_lanata;Lavandula lanata;Lavandula;lanata;NA;open;3;51.66;48.34
9;SNEV09;Sierra Nevada, low-elevation limestones (Granada 1)  ;37.139861;-3.481917;Linum_suffruticosum;Linum suffruticosum;Linum;suffruticosum;NA;open;7;51.66;48.34
9;SNEV09;Sierra Nevada, low-elevation limestones (Granada 1)  ;37.139861;-3.481917;Teucrium_webbianum;Teucrium webbianum;Teucrium;webbianum;NA;open;8;51.66;48.34
9;SNEV09;Sierra Nevada, low-elevation limestones (Granada 1)  ;37.139861;-3.481917;Ulex_parviflorus_parviflorus;Ulex parviflorus;Ulex;parviflorus;parviflorus;open;7;51.66;48.34
9;SNEV09;Sierra Nevada, low-elevation limestones (Granada 1)  ;37.139861;-3.481917;Staehelina_dubia;Staehelina dubia;Staehelina;dubia;NA;open;1;51.66;48.34
9;SNEV09;Sierra Nevada, low-elevation limestones (Granada 1)  ;37.139861;-3.481917;Helianthemum_cinereum_rotundifolium;Helianthemum cinereum;Helianthemum;cinereum;rotundifolium;open;16;51.66;48.34
9;SNEV09;Sierra Nevada, low-elevation limestones (Granada 1)  ;37.139861;-3.481917;Fumana_ericoides;Fumana ericoides;Fumana;ericoides;NA;open;1;51.66;48.34
9;SNEV09;Sierra Nevada, low-elevation limestones (Granada 1)  ;37.139861;-3.481917;Rosmarinus_officinalis;Rosmarinus officinalis;Rosmarinus;officinalis;NA;open;1;51.66;48.34
9;SNEV09;Sierra Nevada, low-elevation limestones (Granada 1)  ;37.139861;-3.481917;Anthyllis_tejedensis_tejedensis;Anthyllis tejedensis;Anthyllis;tejedensis;tejedensis;open;0;51.66;48.34
9;SNEV09;Sierra Nevada, low-elevation limestones (Granada 1)  ;37.139861;-3.481917;Alyssum_serpyllifolium_serpyllifolium;Alyssum serpyllifolium;Alyssum;serpyllifolium;serpyllifolium;open;0;51.66;48.34
9;SNEV09;Sierra Nevada, low-elevation limestones (Granada 1)  ;37.139861;-3.481917;Arenaria_armerina_armerina;Arenaria armerina;Arenaria;armerina;armerina;open;2;51.66;48.34
9;SNEV09;Sierra Nevada, low-elevation limestones (Granada 1)  ;37.139861;-3.481917;Ptilostemon_hispanicus;Ptilostemon hispanicus;Ptilostemon;hispanicus;NA;open;0;51.66;48.34
10;SNEV10;Sierra Nevada, mid-elevation limestones (Granada 2)  ;37.112889;-3.454472;Rosmarinus_officinalis;Rosmarinus officinalis;Rosmarinus;officinalis;NA;open;43;63.74;36.26
10;SNEV10;Sierra Nevada, mid-elevation limestones (Granada 2)  ;37.112889;-3.454472;Teucrium_similatum;Teucrium similatum;Teucrium;similatum;NA;open;5;63.74;36.26
10;SNEV10;Sierra Nevada, mid-elevation limestones (Granada 2)  ;37.112889;-3.454472;Salvia_lavandulifolia_vellerea;Salvia lavandulifolia;Salvia;lavandulifolia;vellerea;open;1;63.74;36.26
10;SNEV10;Sierra Nevada, mid-elevation limestones (Granada 2)  ;37.112889;-3.454472;Helianthemum_cinereum_rotundifolium;Helianthemum cinereum;Helianthemum;cinereum;rotundifolium;open;29;63.74;36.26
10;SNEV10;Sierra Nevada, mid-elevation limestones (Granada 2)  ;37.112889;-3.454472;Coris_monspeliensis_monspeliensis;Coris monspeliensis;Coris;monspeliensis;monspeliensis;open;2;63.74;36.26
10;SNEV10;Sierra Nevada, mid-elevation limestones (Granada 2)  ;37.112889;-3.454472;Linum_suffruticosum;Linum suffruticosum;Linum;suffruticosum;NA;open;7;63.74;36.26
10;SNEV10;Sierra Nevada, mid-elevation limestones (Granada 2)  ;37.112889;-3.454472;Lavandula_lanata;Lavandula lanata;Lavandula;lanata;NA;open;10;63.74;36.26
10;SNEV10;Sierra Nevada, mid-elevation limestones (Granada 2)  ;37.112889;-3.454472;Fumana_procumbens;Fumana procumbens;Fumana;procumbens;NA;open;1;63.74;36.26
10;SNEV10;Sierra Nevada, mid-elevation limestones (Granada 2)  ;37.112889;-3.454472;Ulex_parviflorus_parviflorus;Ulex parviflorus;Ulex;parviflorus;parviflorus;open;3;63.74;36.26
10;SNEV10;Sierra Nevada, mid-elevation limestones (Granada 2)  ;37.112889;-3.454472;Argyrolobium_zanonii_zanonii;Argyrolobium zanonii;Argyrolobium;zanonii;zanonii;open;0;63.74;36.26
10;SNEV10;Sierra Nevada, mid-elevation limestones (Granada 2)  ;37.112889;-3.454472;Helianthemum_apenninum_suffruticosum;Helianthemum apenninum;Helianthemum;apenninum;suffruticosum;open;5;63.74;36.26
10;SNEV10;Sierra Nevada, mid-elevation limestones (Granada 2)  ;37.112889;-3.454472;Thymus_mastichina_mastichina;Thymus mastichina;Thymus;mastichina;mastichina;open;3;63.74;36.26
10;SNEV10;Sierra Nevada, mid-elevation limestones (Granada 2)  ;37.112889;-3.454472;Thymelaea_pubescens_elliptica;Thymelaea pubescens;Thymelaea;pubescens;elliptica;open;1;63.74;36.26
10;SNEV10;Sierra Nevada, mid-elevation limestones (Granada 2)  ;37.112889;-3.454472;Polygala_rupestris;Polygala rupestris;Polygala;rupestris;NA;open;1;63.74;36.26
10;SNEV10;Sierra Nevada, mid-elevation limestones (Granada 2)  ;37.112889;-3.454472;Quercus_rotundifolia;Quercus rotundifolia;Quercus;rotundifolia;NA;open;0;63.74;36.26
11;SNEV11;Sierra Nevada, high-elevation limestones (Granada 3)  ;37.112667;-3.435472;Salvia_lavandulifolia_vellerea;Salvia lavandulifolia;Salvia;lavandulifolia;vellerea;open;6;57.67;42.33
11;SNEV11;Sierra Nevada, high-elevation limestones (Granada 3)  ;37.112667;-3.435472;Helianthemum_cinereum_rotundifolium;Helianthemum cinereum;Helianthemum;cinereum;rotundifolium;open;42;57.67;42.33
11;SNEV11;Sierra Nevada, high-elevation limestones (Granada 3)  ;37.112667;-3.435472;Linum_suffruticosum;Linum suffruticosum;Linum;suffruticosum;NA;open;1;57.67;42.33
11;SNEV11;Sierra Nevada, high-elevation limestones (Granada 3)  ;37.112667;-3.435472;Linum_narbonense;Linum narbonense;Linum;narbonense;NA;open;1;57.67;42.33
11;SNEV11;Sierra Nevada, high-elevation limestones (Granada 3)  ;37.112667;-3.435472;Vella_spinosa;Vella spinosa;Vella;spinosa;NA;open;1;57.67;42.33
11;SNEV11;Sierra Nevada, high-elevation limestones (Granada 3)  ;37.112667;-3.435472;Erinacea_anthyllis_anthyllis;Erinacea anthyllis;Erinacea;anthyllis;anthyllis;open;17;57.67;42.33
11;SNEV11;Sierra Nevada, high-elevation limestones (Granada 3)  ;37.112667;-3.435472;Teucrium_capitatum_capitatum;Teucrium capitatum;Teucrium;capitatum;capitatum;open;5;57.67;42.33
11;SNEV11;Sierra Nevada, high-elevation limestones (Granada 3)  ;37.112667;-3.435472;Thymelaea_pubescens_elliptica;Thymelaea pubescens;Thymelaea;pubescens;elliptica;open;1;57.67;42.33
11;SNEV11;Sierra Nevada, high-elevation limestones (Granada 3)  ;37.112667;-3.435472;Lavandula_lanata;Lavandula lanata;Lavandula;lanata;NA;open;1;57.67;42.33
11;SNEV11;Sierra Nevada, high-elevation limestones (Granada 3)  ;37.112667;-3.435472;Quercus_rotundifolia;Quercus rotundifolia;Quercus;rotundifolia;NA;open;0;57.67;42.33
12;SNEV12;Sierra Nevada, low-elevation mica schists (Capileira 1)  ;36.927583;-3.354028;Ulex_parviflorus_parviflorus;Ulex parviflorus;Ulex;parviflorus;parviflorus;open;6;63;37
