complete_specie;genus;sp;sub_sp;taxon_name
Quercus_faginea;Quercus;faginea;NA;Quercus faginea
Quercus_ilex;Quercus;ilex;NA;Quercus ilex
Rhamnus_alaternus;Rhamnus;alaternus;NA;Rhamnus alaternus
Rhamnus_lycioides;Rhamnus;lycioides;NA;Rhamnus lycioides
Rhamnus_myrtifolia;Rhamnus;myrtifolia;NA;Rhamnus myrtifolia
Rosa_canina;Rosa;canina;NA;Rosa canina
Teucrium_fruticans;Teucrium;fruticans;NA;Teucrium fruticans
Thymus_mastichina;Thymus;mastichina;NA;Thymus mastichina
Ulex_parviflorus;Ulex;parviflorus;NA;Ulex parviflorus
Lonicera_implexa;Lonicera;implexa;NA;Lonicera implexa
Ruscus_aculeatus;Ruscus;aculeatus;NA;Ruscus aculeatus
Viburnum_tinus;Viburnum;tinus;NA;Viburnum tinus
Celtis_australis;Celtis;australis;NA;Celtis australis
Colutea_hispanica;Colutea;hispanica;NA;Colutea hispanica
Genista_scorpius;Genista;scorpius;NA;Genista scorpius
Berberis_hispanica;Berberis;hispanica;NA;Berberis hispanica
Salvia_lavandulifolia;Salvia;lavandulifolia;NA;Salvia lavandulifolia
Acer_granatense;Acer;granatense;NA;Acer granatense
Cistus_crispus;Cistus;crispus;NA;Cistus crispus
Cistus_populifolius;Cistus;populifolius;NA;Cistus populifolius
Crataegus_laciniata;Crataegus;laciniata;NA;Crataegus laciniata
Cytisus_scoparius;Cytisus;scoparius;NA;Cytisus scoparius
Daphne_laureola;Daphne;laureola;NA;Daphne laureola
Ilex_aquifolium;Ilex;aquifolium;NA;Ilex aquifolium
Juniperus_communis;Juniperus;communis;NA;Juniperus communis
Malus_sylvestris;Malus;sylvestris;NA;Malus sylvestris
Pinus_nigra;Pinus;nigra;NA;Pinus nigra
Pinus_pinaster;Pinus;pinaster;NA;Pinus pinaster
Quercus_pyrenaica;Quercus;pyrenaica;NA;Quercus pyrenaica
Sorbus_aria;Sorbus;aria;NA;Sorbus aria
Sorbus_torminalis;Sorbus;torminalis;NA;Sorbus torminalis
Thymus_zygis;Thymus;zygis;NA;Thymus zygis
Arbutus_unedo;Arbutus;unedo;NA;Arbutus unedo
Bupleurum_gibraltaricum;Bupleurum;gibraltaricum;NA;Bupleurum gibraltaricum
Cotoneaster_granatensis;Cotoneaster;granatensis;NA;Cotoneaster granatensis
Ligustrum_vulgare;Ligustrum;vulgare;NA;Ligustrum vulgare
Sorbus_tornimalis;Sorbus;tornimalis;NA;Sorbus tornimalis
Viburnum_lantana;Viburnum;lantana;NA;Viburnum lantana
Asparagus_horridus;Asparagus;horridus;NA;Asparagus horridus
Cistus_libanotis;Cistus;libanotis;NA;Cistus libanotis
Cytisus_grandiflorus;Cytisus;grandiflorus;NA;Cytisus grandiflorus
Erica_scoparia;Erica;scoparia;NA;Erica scoparia
Halimium_commutatum;Halimium;commutatum;NA;Halimium commutatum
Halimium_halimifolium;Halimium;halimifolium;NA;Halimium halimifolium
Helichrysum_picardii;Helichrysum;picardii;NA;Helichrysum picardii
Juniperus_phoenicea_turbinata;Juniperus;phoenicea;turbinata;Juniperus phoenicea turbinata
Pinus_pinea;Pinus;pinea;NA;Pinus pinea
Stauracanthus_genistoides;Stauracanthus;genistoides;NA;Stauracanthus genistoides
Ulex_australis;Ulex;australis;NA;Ulex australis
Artemisia_barrelieri;Artemisia;barrelieri;NA;Artemisia barrelieri
Chamaerops_humilis;Chamaerops;humilis;NA;Chamaerops humilis
Cistus_monspeliensis;Cistus;monspeliensis;NA;Cistus monspeliensis
Cistus_clusii;Cistus;clusii;NA;Cistus clusii
Coronilla_juncea;Coronilla;juncea;NA;Coronilla juncea
Dorycnium_pentaphyllum;Dorycnium;pentaphyllum;NA;Dorycnium pentaphyllum
Fumana_laevipes;Fumana;laevipes;NA;Fumana laevipes
Helianthemum_almeriense;Helianthemum;almeriense;NA;Helianthemum almeriense
Launaea_arborescens;Launaea;arborescens;NA;Launaea arborescens
Lavandula_dentata;Lavandula;dentata;NA;Lavandula dentata
Paronychia_suffruticosa;Paronychia;suffruticosa;NA;Paronychia suffruticosa
Periploca_angustifolia;Periploca;angustifolia;NA;Periploca angustifolia
Phagnalon_rupestre;Phagnalon;rupestre;NA;Phagnalon rupestre
Sideritis_ibanyenzii;Sideritis;ibanyenzii;NA;Sideritis ibanyenzii
Stipa_tenacissima;Stipa;tenacissima;NA;Stipa tenacissima
Teucrium_carthaginense;Teucrium;carthaginense;NA;Teucrium carthaginense
Teucrium_pseudochamaepitys;Teucrium;pseudochamaepitys;NA;Teucrium pseudochamaepitys
Thymelaea_hirsuta;Thymelaea;hirsuta;NA;Thymelaea hirsuta
Thymus_hyemalis;Thymus;hyemalis;NA;Thymus hyemalis
Ulex_parviflorus_parviflorus;Ulex;parviflorus;NA;Ulex parviflorus
Thymus_granatensis_granatensis;Thymus;granatensis;NA;Thymus granatensis
Cistus_clusii_clusii;Cistus;clusii;NA;Cistus clusii
Coris_monspeliensis_monspeliensis;Coris;monspeliensis;NA;Coris monspeliensis
Thymelaea_tartonraira_austroiberica;Thymelaea;tartonraira;NA;Thymelaea tartonraira
Arenaria_armerina_armerina;Arenaria;armerina;NA;Arenaria armerina
Paronychia_suffruticosa_suffruticosa;Paronychia;suffruticosa;NA;Paronychia suffruticosa
Alyssum_serpyllifolium_serpyllifolium;Alyssum;serpyllifolium;NA;Alyssum serpyllifolium
Anthyllis_tejedensis_tejedensis;Anthyllis;tejedensis;NA;Anthyllis tejedensis
Helianthemum_cinereum_rotundifolium;Helianthemum;cinereum;NA;Helianthemum cinereum
Helianthemum_apenninum_suffruticosum;Helianthemum;apenninum;NA;Helianthemum apenninum
Erinacea_anthyllis_anthyllis;Erinacea;anthyllis;NA;Erinacea anthyllis
Ononis_pusilla_pusilla;Ononis;pusilla;NA;Ononis pusilla
Genista_umbellata_equisetiformis;Genista;umbellata;NA;Genista umbellata
Thymus_mastichina_mastichina;Thymus;mastichina;NA;Thymus mastichina
Helichrysum_italicum_serotinum;Helichrysum;italicum;NA;Helichrysum italicum
Thymus_zygis_gracilis;Thymus;zygis;NA;Thymus zygis
Argyrolobium_zanonii_zanonii;Argyrolobium;zanonii;NA;Argyrolobium zanonii
Halimium_atriplicifolium_atriplicifolium;Halimium;atriplicifolium;NA;Halimium atriplicifolium
Salvia_lavandulifolia_vellerea;Salvia;lavandulifolia;NA;Salvia lavandulifolia
Santolina_chamaecyparissus_chamaecyparissus;Santolina;chamaecyparissus;NA;Santolina chamaecyparissus
Thymelaea_pubescens_elliptica;Thymelaea;pubescens;NA;Thymelaea pubescens
Teucrium_capitatum_capitatum;Teucrium;capitatum;NA;Teucrium capitatum
Artemisia_campestris_glutinosa;Artemisia;campestris;NA;Artemisia campestris
Juniperus_phoenicea_turbinata;Juniperus;phoenicea;NA;Juniperus phoenicea
